job_id,scenario,seed,symbols,nu,spans,launch_power_dbm,output_csv,log_path,command,status
confirm_016_c_seed36,C,36,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_016_c_seed36.csv,results/final/logs/confirm_016_c_seed36.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 36 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_016_c_seed36.csv --log results/final/logs/confirm_016_c_seed36.log",planned_not_run
confirm_017_c_seed37,C,37,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_017_c_seed37.csv,results/final/logs/confirm_017_c_seed37.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 37 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_017_c_seed37.csv --log results/final/logs/confirm_017_c_seed37.log",planned_not_run
confirm_018_c_seed38,C,38,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_018_c_seed38.csv,results/final/logs/confirm_018_c_seed38.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 38 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_018_c_seed38.csv --log results/final/logs/confirm_018_c_seed38.log",planned_not_run
confirm_019_c_seed39,C,39,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_019_c_seed39.csv,results/final/logs/confirm_019_c_seed39.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 39 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_019_c_seed39.csv --log results/final/logs/confirm_019_c_seed39.log",planned_not_run
confirm_020_c_seed40,C,40,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_020_c_seed40.csv,results/final/logs/confirm_020_c_seed40.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 40 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_020_c_seed40.csv --log results/final/logs/confirm_020_c_seed40.log",planned_not_run
confirm_021_c_seed41,C,41,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_021_c_seed41.csv,results/final/logs/confirm_021_c_seed41.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 41 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_021_c_seed41.csv --log results/final/logs/confirm_021_c_seed41.log",planned_not_run
confirm_022_c_seed42,C,42,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_022_c_seed42.csv,results/final/logs/confirm_022_c_seed42.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 42 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_022_c_seed42.csv --log results/final/logs/confirm_022_c_seed42.log",planned_not_run
confirm_023_c_seed43,C,43,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_023_c_seed43.csv,results/final/logs/confirm_023_c_seed43.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 43 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_023_c_seed43.csv --log results/final/logs/confirm_023_c_seed43.log",planned_not_run
confirm_024_c_seed44,C,44,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_024_c_seed44.csv,results/final/logs/confirm_024_c_seed44.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 44 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_024_c_seed44.csv --log results/final/logs/confirm_024_c_seed44.log",planned_not_run
confirm_025_c_seed45,C,45,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_025_c_seed45.csv,results/final/logs/confirm_025_c_seed45.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 45 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_025_c_seed45.csv --log results/final/logs/confirm_025_c_seed45.log",planned_not_run
confirm_026_c_seed46,C,46,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_026_c_seed46.csv,results/final/logs/confirm_026_c_seed46.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 46 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_026_c_seed46.csv --log results/final/logs/confirm_026_c_seed46.log",planned_not_run
confirm_027_c_seed47,C,47,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_027_c_seed47.csv,results/final/logs/confirm_027_c_seed47.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 47 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_027_c_seed47.csv --log results/final/logs/confirm_027_c_seed47.log",planned_not_run
confirm_028_c_seed48,C,48,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_028_c_seed48.csv,results/final/logs/confirm_028_c_seed48.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 48 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_028_c_seed48.csv --log results/final/logs/confirm_028_c_seed48.log",planned_not_run
confirm_029_c_seed49,C,49,131072,0.36,10,2.0,results/final/raw_confirmation/confirm_029_c_seed49.csv,results/final/logs/confirm_029_c_seed49.log,"python scripts/final_outputs/run_single_confirmation_job.py --scenario ""C"" --seed 49 --symbols 131072 --nu 0.36 --spans 10 --launch-power-dbm 2.0 --output results/final/raw_confirmation/confirm_029_c_seed49.csv --log results/final/logs/confirm_029_c_seed49.log",planned_not_run
