scenario,stage,seed,symbols,nu,spans,launch_power_dbm,uniform_bmd_rate_bit_per_symbol,pcs_stored_score_bit_per_symbol,entropy_correction_bit_per_symbol,pcs_corrected_bmd_rate_bit_per_symbol,delta_corrected_bmd_gain_bit_per_symbol,ber_uniform,ber_pcs,gsnr_uniform_db,gsnr_pcs_db,notes
C,final_confirmation,46,131072,0.36,10,2,3.632862554,3.645649509,0.02960839165,3.616041118,-0.01682143644,0.02200698853,0.01867866516,12.82207046,12.59563881,day8_waveform_surrogate_confirmation_adapter
C,final_confirmation,47,131072,0.36,10,2,3.639596081,3.658752672,0.02960839165,3.629144281,-0.0104518004,0.02171516418,0.01909065247,12.8612643,12.58300545,day8_waveform_surrogate_confirmation_adapter
C,final_confirmation,48,131072,0.36,10,2,3.647688187,3.651035395,0.02960839165,3.621427003,-0.02626118359,0.02124023438,0.01827049255,12.8652109,12.60262012,day8_waveform_surrogate_confirmation_adapter
C,final_confirmation,49,131072,0.36,10,2,3.632848752,3.666576248,0.02960839165,3.636967856,0.004119103892,0.02193641663,0.01836776733,12.85957249,12.62765353,day8_waveform_surrogate_confirmation_adapter
C,final_confirmation,50,131072,0.36,10,2,3.647212099,3.65536953,0.02960839165,3.625761138,-0.0214509604,0.02171707153,0.01871681213,12.86111974,12.59040708,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,21,131072,0.36,12,-2,3.754660609,3.783911374,0.02960839165,3.754302983,-0.0003576260814,0.01562309265,0.01179122925,13.4594784,13.41493115,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,22,131072,0.36,12,-2,3.754562709,3.78695352,0.02960839165,3.757345128,0.002782418972,0.0156879425,0.01179122925,13.452195,13.39663597,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,23,131072,0.36,12,-2,3.757311184,3.783743113,0.02960839165,3.754134721,-0.003176462602,0.01577758789,0.01170539856,13.45134653,13.39525622,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,24,131072,0.36,12,-2,3.762081298,3.782214843,0.02960839165,3.752606452,-0.009474846593,0.01551437378,0.01198387146,13.47691531,13.39751301,day8_waveform_surrogate_confirmation_adapter
S,final_confirmation,25,131072,0.36,12,-2,3.756530186,3.785036514,0.02960839165,3.755428122,-0.001102064194,0.01581954956,0.01220321655,13.45042576,13.37405113,day8_waveform_surrogate_confirmation_adapter
