launch_power_dbm,spans,oesc_uniform_gsnr_mean_db,oesc_uniform_gsnr_std_db,n_seeds,scenario_group,band
-2.0,12,13.076551693959267,0.3415196393976655,7,C+S,C+S
0.0,12,12.319575846883568,0.2302750414559004,7,C+S,C+S
2.0,12,10.752986531244668,0.0678174757159956,7,C+S,C+S
4.0,12,7.957252488495007,0.1844909341301723,7,C+S,C+S
