scenario_group,spans,launch_power_dbm,symbol_count,ssfm_steps_per_span,pcs_nu,n_pairs,gmi_delta_mean,gmi_delta_std,gmi_delta_ci95,ngmi_delta_mean,ngmi_delta_std,ngmi_delta_ci95,ber_delta_mean,ber_delta_std,ber_delta_ci95,gsnr_db_delta_mean,gsnr_db_delta_std,gsnr_db_delta_ci95,rate_tbps_delta_mean,rate_tbps_delta_std,rate_tbps_delta_ci95,rate_tbps_per_channel_delta_mean,rate_tbps_per_channel_delta_std,rate_tbps_per_channel_delta_ci95,gmi_gain_mean,gmi_gain_ci95,ngmi_gain_mean,ngmi_gain_ci95,rate_gain_mean,rate_gain_ci95,aggregate_rate_gain_mean,aggregate_rate_gain_ci95
C,10,2.0,16384,8,0.24,10,0.026434743880753463,0.012829713672018355,0.007951938918550571,0.00991740098655024,0.003207428418004589,0.0019879847296376428,-0.00284423828125,0.0010189093767404903,0.0006315265745212976,-0.13681797273227242,0.047407069653173664,0.029383206190462367,0.0033836472167364405,0.0016422033500183707,0.0010178481815744864,0.0033836472167364405,0.0016422033500183707,0.0010178481815744864,0.026434743880753463,0.007951938918550571,0.00991740098655024,0.0019879847296376428,0.0033836472167364405,0.0010178481815744864,0.0033836472167364405,0.0010178481815744864
C,10,2.0,32768,8,0.24,10,0.020678742943887142,0.009813332655029454,0.006082366594852895,0.00847840075233366,0.0024533331637573634,0.0015205916487132237,-0.002590179443359375,0.0005593762139725136,0.00034670496939467,-0.16726994288300306,0.04493230032088274,0.02784932826684198,0.002646879096817556,0.001256106579843759,0.0007785429241411639,0.002646879096817556,0.001256106579843759,0.0007785429241411639,0.020678742943887142,0.006082366594852895,0.00847840075233366,0.0015205916487132237,0.002646879096817556,0.0007785429241411639,0.002646879096817556,0.0007785429241411639
C,10,2.0,65536,8,0.24,10,0.02091667160824908,0.007798682126831926,0.004833673260613265,0.008537882918424144,0.0019496705317079816,0.0012084183151533162,-0.002519989013671875,0.00018142173309560825,0.00011244635515290536,-0.16475142774166826,0.016444355803844343,0.01019231732289401,0.002677333965855877,0.0009982313122344887,0.0006187101773584993,0.002677333965855877,0.0009982313122344887,0.0006187101773584993,0.02091667160824908,0.004833673260613265,0.008537882918424144,0.0012084183151533162,0.002677333965855877,0.0006187101773584993,0.002677333965855877,0.0006187101773584993
