scenario,display_name,band,channel_id,wavelength_nm,frequency_offset_ghz,launch_power_dbm,shaped,neural_nli,ase_var,nli_var,implementation_var,total_noise_var,gsnr_db,entropy_bits_per_symbol,ser,ber,gmi_bits_per_symbol,ngmi,net_rate_tbps,parameter_count,train_time_s,inference_time_s,residual_mse_before,residual_mse_after
uniform_baseline,Uniform baseline,O,0,1312.4,-300.0,0.0,False,False,0.0007677878537350412,0.0014375,0.0018419273861053573,0.004047215239840398,24.383843176489766,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.0036450419640884297,0.0036450419640884297
uniform_baseline,Uniform baseline,O,1,1311.8,-225.0,0.0,False,False,0.0007677878537350412,0.001365625,0.0018419273861053573,0.003975340239840398,24.42231948666511,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.0035972386201899424,0.0035972386201899424
uniform_baseline,Uniform baseline,O,2,1311.2,-150.0,0.0,False,False,0.0007677878537350412,0.00129375,0.0018419273861053573,0.0039034652398403985,24.521019085129723,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.00353877124685125,0.00353877124685125
uniform_baseline,Uniform baseline,O,3,1310.6,-75.0,0.0,False,False,0.0007677878537350412,0.0012218749999999999,0.0018419273861053573,0.0038315902398403986,24.553166361737702,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.003501691105441021,0.003501691105441021
uniform_baseline,Uniform baseline,O,4,1310.0,0.0,0.0,False,False,0.0007677878537350412,0.00115,0.0018419273861053573,0.0037597152398403987,24.694661985539135,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.0033948706735767897,0.0033948706735767897
uniform_baseline,Uniform baseline,O,5,1309.4,75.0,0.0,False,False,0.0007677878537350412,0.0012218749999999999,0.0018419273861053573,0.0038315902398403986,24.67017851516664,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.003407922178940646,0.003407922178940646
uniform_baseline,Uniform baseline,O,6,1308.8,150.0,0.0,False,False,0.0007677878537350412,0.00129375,0.0018419273861053573,0.0039034652398403985,24.577792077337076,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.0034760831472986312,0.0034760831472986312
uniform_baseline,Uniform baseline,O,7,1308.2,225.0,0.0,False,False,0.0007677878537350412,0.001365625,0.0018419273861053573,0.003975340239840398,24.456478293275072,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.003565711091799033,0.003565711091799033
uniform_baseline,Uniform baseline,O,8,1307.6,300.0,0.0,False,False,0.0007677878537350412,0.0014375,0.0018419273861053573,0.004047215239840398,24.370434048489535,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.003621707481745121,0.003621707481745121
uniform_baseline,Uniform baseline,E,0,1402.4,-300.0,0.0,False,False,0.0006811476104107644,0.0012777777777777776,0.0018419273861053573,0.0038008527742938994,24.634495213362406,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.003436955640655881,0.003436955640655881
uniform_baseline,Uniform baseline,E,1,1401.8,-225.0,0.0,False,False,0.0006811476104107644,0.0012138888888888887,0.0018419273861053573,0.00373696388540501,24.667396685955012,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.0033878011517588565,0.0033878011517588565
uniform_baseline,Uniform baseline,E,2,1401.2,-150.0,0.0,False,False,0.0006811476104107644,0.00115,0.0018419273861053573,0.0036730749965161215,24.765779416575956,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.003332611015881045,0.003332611015881045
uniform_baseline,Uniform baseline,E,3,1400.6,-75.0,0.0,False,False,0.0006811476104107644,0.001086111111111111,0.0018419273861053573,0.003609186107627233,24.824854256377698,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.0032985608620503624,0.0032985608620503624
uniform_baseline,Uniform baseline,E,4,1400.0,0.0,0.0,False,False,0.0006811476104107644,0.0010222222222222221,0.0018419273861053573,0.0035452972187383436,24.815738321688634,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.0032854759296483383,0.0032854759296483383
uniform_baseline,Uniform baseline,E,5,1399.4,75.0,0.0,False,False,0.0006811476104107644,0.001086111111111111,0.0018419273861053573,0.003609186107627233,24.80679314517502,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.003286739781910782,0.003286739781910782
