seed,launch_power_dbm,scenario,display_name,band,channel_id,shaped,neural_nli,ase_var,nli_var,implementation_var,total_noise_var,gsnr_db,entropy_bits_per_symbol,ser,ber,gmi_bits_per_symbol,ngmi,net_rate_tbps,parameter_count,train_time_s,inference_time_s,residual_mse_before,residual_mse_after,residual_mse_improvement_percent
1,-6.0,uniform_baseline,Uniform baseline,O,0,False,False,0.0021114165977713633,0.00023582030749947226,0.003223372925684375,0.005570609830955211,22.64921196124351,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.005437835937689974,0.005437835937689974,0.0
1,-6.0,uniform_baseline,Uniform baseline,E,0,False,False,0.001873155928629602,0.000209618051110642,0.003223372925684375,0.005306146905424619,22.976492036138197,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.005135824933484104,0.005135824933484104,0.0
1,-6.0,uniform_baseline,Uniform baseline,S,0,False,False,0.0015652147475806513,0.00015721353833298148,0.003223372925684375,0.004945801211598008,23.22200081530235,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.0048421189726859494,0.0048421189726859494,0.0
1,-6.0,uniform_baseline,Uniform baseline,C,0,False,False,0.0013200000000000002,0.00011538608318016989,0.003223372925684375,0.004658759008864545,23.533954722419963,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.0044710507689169265,0.0044710507689169265,0.0
1,-6.0,uniform_baseline,Uniform baseline,L,0,False,False,0.0014674858800117008,0.000104809025555321,0.003223372925684375,0.004795667831251397,23.235799328755007,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.004629283304851738,0.004629283304851738,0.0
1,-6.0,pcs_only,PCS only,O,0,True,False,0.0021114165977713633,0.00020752187059953559,0.003223372925684375,0.005542311394055274,22.223738637386802,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.005522918090752413,0.005522918090752413,0.0
1,-6.0,pcs_only,PCS only,E,0,True,False,0.001873155928629602,0.00018446388497736493,0.003223372925684375,0.005280992739291342,22.473090530786223,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.005309809571500732,0.005309809571500732,0.0
1,-6.0,pcs_only,PCS only,S,0,True,False,0.0015652147475806513,0.00013834791373302371,0.003223372925684375,0.00492693558699805,22.839193422063097,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.004890950621415998,0.004890950621415998,0.0
1,-6.0,pcs_only,PCS only,C,0,True,False,0.0013200000000000002,0.0001015397531985495,0.003223372925684375,0.004644912678882925,22.97993923220206,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.0045940038348227805,0.0045940038348227805,0.0
1,-6.0,pcs_only,PCS only,L,0,True,False,0.0014674858800117008,9.223194248868247e-05,0.003223372925684375,0.004783090748184758,23.08519335527417,3.9925404097316766,0.0,0.0,3.9925404097316766,1.0,0.42587097703804555,0,0.0,0.0,0.004662891826851264,0.004662891826851264,0.0
1,-6.0,neural_only,Neural NLI only,O,0,False,True,0.0021114165977713633,0.00023582030749947226,0.003223372925684375,0.005570609830955211,22.749623478223675,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.1310747999996238,0.0019143999998050276,0.005589114180730493,0.00525408795582976,5.994263385346432
1,-6.0,neural_only,Neural NLI only,E,0,False,True,0.001873155928629602,0.000209618051110642,0.003223372925684375,0.005306146905424619,22.98284237833322,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.15311810000093828,0.001001999999061809,0.005271532881525356,0.004987432781924263,5.389326140727524
1,-6.0,neural_only,Neural NLI only,S,0,False,True,0.0015652147475806513,0.00015721353833298148,0.003223372925684375,0.004945801211598008,23.42259925914783,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,786,0.13911409999855096,0.0007480000003852183,0.004885056742804588,0.00459626761540078,5.911684195463607
