launch_power_dbm,scenario,display_name,n_seeds,n_channels_per_seed,total_net_rate_tbps_mean,total_net_rate_tbps_std,total_net_rate_tbps_ci95,mean_gsnr_db_mean,mean_gsnr_db_std,mean_gsnr_db_ci95,mean_ber_mean,mean_ber_std,mean_ber_ci95,mean_ngmi_mean,mean_ngmi_std,mean_ngmi_ci95,mean_inference_time_ms_per_channel_mean,mean_inference_time_ms_per_channel_std,mean_inference_time_ms_per_channel_ci95,mean_residual_mse_improvement_percent_mean,mean_residual_mse_improvement_percent_std,mean_residual_mse_improvement_percent_ci95
-6.0,neural_only,Neural NLI only,5,5,2.1333333333333333,0.0,0.0,23.24945267740736,0.033060406595511196,0.028978724072447407,0.0,0.0,0.0,1.0,0.0,0.0,1.2974560000293422,0.12429822635432931,0.10895219917548699,5.610199101359209,0.18200651725101066,0.1595357464091292
-6.0,pcs_only,PCS only,5,5,2.129354885190228,0.0,0.0,22.780710880212705,0.04113735640846423,0.03605848273483334,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.0,proposed_pcs_neural,PCS + Neural NLI,5,5,2.129354885190228,0.0,0.0,22.981564918570697,0.04217773573387823,0.03697041542128569,0.0,0.0,0.0,1.0,0.0,0.0,1.345844000170473,0.20903931556247127,0.18323103887054443,5.13406057828252,0.5288043462882054,0.46351744631832414
-6.0,uniform_baseline,Uniform baseline,5,5,2.1333333333333333,0.0,0.0,23.059783140148443,0.043599676121137125,0.03821680112470409,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.0,neural_only,Neural NLI only,5,5,2.1333333333333333,0.0,0.0,23.13017102765414,0.03143393819271648,0.027553061658980846,0.0,0.0,0.0,1.0,0.0,0.0,1.2577639999653911,0.2081243423441654,0.18242902948356476,6.025720532283607,0.18378085109288073,0.16109101859452754
-4.0,pcs_only,PCS only,5,5,2.129354885190228,0.0,0.0,22.658378686092,0.041256384508000565,0.03616281546417732,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.0,proposed_pcs_neural,PCS + Neural NLI,5,5,2.129354885190228,0.0,0.0,22.875411810946005,0.0430463420234177,0.037731782403250584,0.0,0.0,0.0,1.0,0.0,0.0,1.4032199998473516,0.2386187433008447,0.20915855044469442,5.48917254943699,0.5846032900202508,0.5124273769712796
-4.0,uniform_baseline,Uniform baseline,5,5,2.1333333333333333,0.0,0.0,22.920699487532012,0.043519603222577176,0.038146614134524574,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.0,neural_only,Neural NLI only,5,5,2.1333333333333333,0.0,0.0,22.848149325174354,0.03055431226277781,0.026782035536328026,0.0,0.0,0.0,1.0,0.0,0.0,1.2504599999374477,0.11821118322489976,0.103616670625491,7.150510152175085,0.26777310763034257,0.23471347751346291
-2.0,pcs_only,PCS only,5,5,2.129354885190228,0.0,0.0,22.361311166314938,0.0415265543070088,0.03639962973430887,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
