scenario_group,passes_q3_band_gate,best_pcs_nu,spans,launch_power_dbm,gmi_gain_mean,gmi_gain_ci95,ngmi_gain_mean,ngmi_gain_ci95,air_gain_mean,air_gain_ci95,aggregate_air_gain_mean,aggregate_air_gain_ci95,rate_gain_mean,rate_gain_ci95,aggregate_rate_gain_mean,aggregate_rate_gain_ci95,ber_delta_mean,ber_delta_ci95,symbol_entropy_delta_mean,symbol_entropy_delta_ci95,non_saturated
C,True,0.24,10,2.0,0.035791920981917524,0.013807100115751973,0.012256695261841255,0.0034517750289379933,0.00458136588568545,0.0017673088148162457,0.00458136588568545,0.0017673088148162457,0.00458136588568545,0.0017673088148162457,0.00458136588568545,0.0017673088148162457,-0.003169468470982143,0.0010655600948461354,-0.013234860065447496,0.0,True
C+S,True,0.36,12,0.0,0.043629131825761176,0.011838907590154575,0.018309380869981573,0.002959726897538632,0.005584528873697417,0.001515380171539779,0.011169057747394835,0.003030760343079558,0.005584528873697417,0.001515380171539779,0.011169057747394835,0.003030760343079558,-0.005266462053571429,0.0006797510862752154,-0.029608391654165178,0.0,True
S,True,0.32,12,2.0,0.04475801715126242,0.019073792535169592,0.017050724426972624,0.004768448133792398,0.005729026195361578,0.0024414454445017054,0.005729026195361578,0.0024414454445017054,0.005729026195361578,0.0024414454445017054,0.005729026195361578,0.0024414454445017054,-0.006134033203125,0.001346378918929968,-0.023444880556628078,0.0,True
