scenario_group,spans,launch_power_dbm,pcs_nu,n_pairs,gmi_gain_mean,gmi_gain_std,gmi_gain_ci95,ngmi_gain_mean,ngmi_gain_std,ngmi_gain_ci95,symbol_entropy_delta_mean,symbol_entropy_delta_std,symbol_entropy_delta_ci95,ber_delta_mean,ber_delta_std,ber_delta_ci95,gsnr_delta_mean,gsnr_delta_std,gsnr_delta_ci95,aggregate_air_gain_mean,aggregate_air_gain_std,aggregate_air_gain_ci95,air_gain_mean,air_gain_std,air_gain_ci95,aggregate_rate_gain_mean,aggregate_rate_gain_std,aggregate_rate_gain_ci95,rate_gain_mean,rate_gain_std,rate_gain_ci95
C,6,-2.0,0.12,7,0.01015703442998531,0.008937928188433213,0.006621309862369533,0.0033692946271881097,0.0022344820471083032,0.0016553274655923833,-0.003320144078767129,0.0,0.0,-0.0009940011160714285,0.0006446983484100756,0.0004775992201531974,0.003921850362891531,0.06331338479876243,0.04690321183499353,0.001300100407038112,0.0011440548081194245,0.0008475276623832803,0.001300100407038112,0.0011440548081194245,0.0008475276623832803,0.001300100407038112,0.0011440548081194245,0.0008475276623832803,0.001300100407038112,0.0011440548081194245,0.0008475276623832803
C,6,-2.0,0.16,7,0.016657004575672398,0.006304741442375388,0.004670617822384623,0.005638550813273405,0.001576185360593847,0.0011676544555961558,-0.005897198677421223,0.0,0.0,-0.0015738351004464285,0.0007262194361186821,0.0005379908870648454,-0.0059641984032014405,0.03664237439584449,0.027145050827531037,0.002132096585686075,0.0008070069046240704,0.0005978390812652471,0.002132096585686075,0.0008070069046240704,0.0005978390812652471,0.002132096585686075,0.0008070069046240704,0.0005978390812652471,0.002132096585686075,0.0008070069046240704,0.0005978390812652471
C,6,-2.0,0.2,7,0.009524504868588008,0.006732138586975423,0.004987238057972449,0.004682072637732205,0.0016830346467438557,0.0012468095144931122,-0.009203785682340815,0.0,0.0,-0.00128173828125,0.0005115678288037174,0.00037897475105165237,-0.0021273623788763884,0.032902349947820826,0.024374401943234814,0.0012191366231792558,0.0008617137391328214,0.0006383664714204491,0.0012191366231792558,0.0008617137391328214,0.0006383664714204491,0.0012191366231792558,0.0008617137391328214,0.0006383664714204491,0.0012191366231792558,0.0008617137391328214,0.0006383664714204491
C,6,-2.0,0.24,7,0.010258876218316513,0.009333176022083889,0.006914113555111013,0.005873434070941002,0.002333294005520972,0.0017285283887777533,-0.013234860065447496,0.0,0.0,-0.0015171595982142857,0.0007971096156476241,0.0005905070669853301,-0.010753712367949373,0.055655436034175415,0.0412301239994815,0.0013131361559445196,0.0011946465308267503,0.0008850065350542191,0.0013131361559445196,0.0011946465308267503,0.0008850065350542191,0.0013131361559445196,0.0011946465308267503,0.0008850065350542191,0.0013131361559445196,0.0011946465308267503,0.0008850065350542191
C,6,-2.0,0.28,7,0.0064088625395735755,0.004128227775874637,0.0030582339341102024,0.006098288288231906,0.0010320569439686593,0.0007645584835275506,-0.017984290613354048,0.0,0.0,-0.0014212472098214285,0.0005808656162788249,0.0004303112704301718,-0.030419562245270728,0.026595913416281487,0.01970252838122438,0.0008203344050654275,0.0005284131553119415,0.000391453943566097,0.0008203344050654275,0.0005284131553119415,0.000391453943566097,0.0008203344050654275,0.0005284131553119415,0.000391453943566097,0.0008203344050654275,0.0005284131553119415,0.000391453943566097
C,6,-2.0,0.32,7,0.007252442825458656,0.007181749117295206,0.005320314199989812,0.007674330845521683,0.0017954372793238015,0.001330078549997453,-0.023444880556628078,0.0,0.0,-0.0019051688058035715,0.0007178352707456881,0.0005317798104370668,-0.004866356328139381,0.03649219907121617,0.027033799390164058,0.0009283126816587083,0.0009192638870137676,0.000681000217598682,0.0009283126816587083,0.0009192638870137676,0.000681000217598682,0.0009283126816587083,0.0009192638870137676,0.000681000217598682,0.0009283126816587083,0.0009192638870137676,0.000681000217598682
C,6,-2.0,0.36,7,0.0032758398347905804,0.004244946234515803,0.003144700178303287,0.00822105787223894,0.0010612365586289507,0.0007861750445758217,-0.029608391654165178,0.0,0.0,-0.0020010811941964285,0.0003631707808224162,0.0002690406794603524,-0.024986072230823147,0.04951654809649186,0.03668237217279213,0.0004193074988532005,0.0005433531180180101,0.00040252162282281137,0.0004193074988532005,0.0005433531180180101,0.00040252162282281137,0.0004193074988532005,0.0005433531180180101,0.00040252162282281137,0.0004193074988532005,0.0005433531180180101,0.00040252162282281137
C,6,0.0,0.12,7,0.016744889786786184,0.005959828851198281,0.004415102999097959,0.005016258466388328,0.0014899572127995702,0.0011037757497744897,-0.003320144078767129,0.0,0.0,-0.0016741071428571428,0.00030993430153418357,0.0002296025436958272,-0.003094723144225447,0.0446818645667652,0.03310078849233226,0.00214334589270864,0.0007628580929533776,0.0005651331838845369,0.00214334589270864,0.0007628580929533776,0.0005651331838845369,0.00214334589270864,0.0007628580929533776,0.0005651331838845369,0.00214334589270864,0.0007628580929533776,0.0005651331838845369
C,6,0.0,0.16,7,0.01748775827992466,0.005151253738891035,0.003816102173323252,0.00584623923933647,0.0012878134347227587,0.000954025543330813,-0.005897198677421223,0.0,0.0,-0.0017220633370535715,0.0005270675662565364,0.00039045711724399916,-0.018666633972472115,0.05521202225773971,0.04090163847698381,0.002238433059830371,0.000659360478578038,0.0004884610781853656,0.002238433059830371,0.000659360478578038,0.0004884610781853656,0.002238433059830371,0.000659360478578038,0.0004884610781853656,0.002238433059830371,0.000659360478578038,0.0004884610781853656
C,6,0.0,0.2,7,0.012793790010450223,0.012233518572305882,0.009062717384451165,0.0054993939231977595,0.0030583796430764705,0.0022656793461127912,-0.009203785682340815,0.0,0.0,-0.0017220633370535715,0.0008154262502405858,0.0006040762197821436,-0.06253234159413422,0.07139495087488239,0.05289011976657139,0.0016376051213376327,0.0015658903772551671,0.0011600278252097596,0.0016376051213376327,0.0015658903772551671,0.0011600278252097596,0.0016376051213376327,0.0015658903772551671,0.0011600278252097596,0.0016376051213376327,0.0015658903772551671,0.0011600278252097596
