scenario_group,spans,launch_power_dbm,pcs_nu,n_pairs,gmi_gain_mean,gmi_gain_ci95,ngmi_gain_mean,ngmi_gain_ci95,ber_delta_mean,ber_delta_ci95,rate_gain_mean,rate_gain_ci95,aggregate_rate_gain_mean,aggregate_rate_gain_ci95,symbols,ssfm_steps_per_span,gmi_gain_mean_reference,gmi_gain_mean_abs_error_vs_reference,ngmi_gain_mean_reference,ngmi_gain_mean_abs_error_vs_reference,passes_convergence_gate
C,10,2.0,0.36,3,0.0259661231653087,0.08779096225043842,0.006491530791327175,0.021947740562609605,-0.0026041666666666665,0.007377439199700019,0.002769719804299612,0.009364369306713494,0.002769719804299612,0.009364369306713494,2048,4,0.058803914033951354,0.03283779086864265,0.014700978508487839,0.008209447717160662,False
S,12,-2.0,0.36,3,0.07037745395664796,0.017962391649568716,0.01759436348916199,0.004490597912392179,-0.00390625,0.0016576267494311523,0.007506928422042462,0.0019159884426206298,0.007506928422042462,0.0019159884426206298,2048,4,0.06716725083271428,0.0032102031239336776,0.01679181270817857,0.0008025507809834194,True
C,10,2.0,0.36,3,0.06491599110778123,0.04466359327905745,0.01622899777694531,0.011165898319764363,-0.0037027994791666665,0.002295226741949055,0.006924372384829976,0.004764116616432763,0.006924372384829976,0.004764116616432763,4096,4,0.058803914033951354,0.00611207707382988,0.014700978508487839,0.00152801926845747,True
S,12,-2.0,0.36,3,0.047502079670990995,0.007787562562940634,0.011875519917747749,0.0019468906407351585,-0.0035196940104166665,0.0008690838551167521,0.005066888498239053,0.0008306733400470584,0.005066888498239053,0.0008306733400470584,4096,4,0.06716725083271428,0.01966517116172329,0.01679181270817857,0.004916292790430822,True
C,10,2.0,0.36,3,0.058803914033951354,0.04103287024374192,0.014700978508487839,0.01025821756093548,-0.004302978515625,0.002425498814913271,0.0062724174969548034,0.004376839492665844,0.0062724174969548034,0.004376839492665844,8192,4,0.058803914033951354,0.0,0.014700978508487839,0.0,True
S,12,-2.0,0.36,3,0.06716725083271428,0.02073420971221428,0.01679181270817857,0.00518355242805357,-0.004292805989583333,0.0014248456163972018,0.007164506755489537,0.00221164903596952,0.007164506755489537,0.00221164903596952,8192,4,0.06716725083271428,0.0,0.01679181270817857,0.0,True
