seed,pcs_nu,display_name,scenario,regime,launch_power_dbm,gmi,ngmi,ber,gsnr_db,rate_tbps
1,0.0,Uniform raw,uniform_raw,medium,0.0,3.999998884180012,0.999999721045003,0.0,20.253258559347245,0.426666547645868
1,0.0,Neural residual,neural_residual,medium,0.0,3.9999999999987343,0.9999999999996836,0.0,24.827381025520392,0.4266666666665317
1,0.08,PCS raw,pcs_raw,medium,0.0,3.9999923052182833,0.9999980763045708,0.0,20.161938526646104,0.4266658458899502
1,0.08,PCS + Neural,pcs_neural,medium,0.0,3.999999773457999,0.9999999433644997,0.0,24.99210808609363,0.4266666425021865
1,0.16,PCS raw,pcs_raw,medium,0.0,3.99998975647701,0.9999974391192525,0.0,20.048800900405443,0.4266655740242144
1,0.16,PCS + Neural,pcs_neural,medium,0.0,3.9999999998747615,0.9999999999686904,0.0,25.62120205620358,0.42666666665330794
1,0.24,PCS raw,pcs_raw,medium,0.0,3.9999965058170104,0.9999991264542526,0.0,19.32717601717013,0.42666629395381445
1,0.24,PCS + Neural,pcs_neural,medium,0.0,3.999999999991563,0.9999999999978908,0.0,25.008279026885866,0.4266666666657668
1,0.32,PCS raw,pcs_raw,medium,0.0,3.9999922322143555,0.9999980580535889,0.0,19.071817658451014,0.4266658381028646
1,0.32,PCS + Neural,pcs_neural,medium,0.0,3.9999999999999236,0.9999999999999809,0.0,25.01262011840092,0.4266666666666586
2,0.0,Uniform raw,uniform_raw,medium,0.0,3.9999745039288577,0.9999936259822144,0.0,20.291365045072673,0.4266639470857449
2,0.0,Neural residual,neural_residual,medium,0.0,3.9999999903677663,0.9999999975919416,0.0,24.40364874478961,0.42666666563922845
2,0.08,PCS raw,pcs_raw,medium,0.0,3.9999989066269044,0.9999997266567261,0.0,20.149943542909753,0.4266665500402032
2,0.08,PCS + Neural,pcs_neural,medium,0.0,3.9999999755352893,0.9999999938838223,0.0,25.02045128197359,0.4266666640570975
2,0.16,PCS raw,pcs_raw,medium,0.0,3.9999994671022545,0.9999998667755636,0.0,20.009914289400275,0.4266666098242405
2,0.16,PCS + Neural,pcs_neural,medium,0.0,3.9999999999833884,0.9999999999958471,0.0,25.860065123551877,0.4266666666648948
2,0.24,PCS raw,pcs_raw,medium,0.0,3.9999986186670995,0.9999996546667749,0.0,19.754786608201375,0.4266665193244906
2,0.24,PCS + Neural,pcs_neural,medium,0.0,4.0,1.0,0.0,25.640781267412315,0.4266666666666667
2,0.32,PCS raw,pcs_raw,medium,0.0,3.99999752250966,0.999999380627415,0.0,18.755689871791297,0.42666640240103043
2,0.32,PCS + Neural,pcs_neural,medium,0.0,4.0,1.0,0.0,25.250041599123,0.4266666666666667
3,0.0,Uniform raw,uniform_raw,medium,0.0,3.999997570755022,0.9999993926887555,0.0,20.28618676271654,0.4266664075472024
3,0.0,Neural residual,neural_residual,medium,0.0,3.9999999999992437,0.9999999999998109,0.0,25.100780463940644,0.426666666666586
3,0.08,PCS raw,pcs_raw,medium,0.0,3.9999999461572906,0.9999999865393226,0.0,20.254264084322692,0.42666666092344435
3,0.08,PCS + Neural,pcs_neural,medium,0.0,3.999999999999537,0.9999999999998842,0.0,23.978109263669257,0.4266666666666173
3,0.16,PCS raw,pcs_raw,medium,0.0,3.999998353487791,0.9999995883719478,0.0,19.980149459727482,0.42666649103869775
3,0.16,PCS + Neural,pcs_neural,medium,0.0,3.999999999999986,0.9999999999999964,0.0,25.645152522727322,0.42666666666666514
3,0.24,PCS raw,pcs_raw,medium,0.0,3.9999965987206787,0.9999991496801697,0.0,19.52954263793827,0.42666630386353904
3,0.24,PCS + Neural,pcs_neural,medium,0.0,3.999999999997859,0.9999999999994648,0.0,25.439007802194958,0.4266666666664383
3,0.32,PCS raw,pcs_raw,medium,0.0,3.9999995916935056,0.9999998979233764,0.0,18.87107245584714,0.42666662311397396
3,0.32,PCS + Neural,pcs_neural,medium,0.0,3.9999999999992055,0.9999999999998014,0.0,25.06071652810749,0.426666666666582
