seed,scenario_group,band,spans,launch_power_dbm,pcs_nu,shaped,stress_name,display_name,scenario,gmi,ngmi,ber,gsnr_db,rate_tbps
1,C,C,10,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.6442236425468733,0.9110559106367183,0.020965576171875,12.928788126785673,0.38871718853833315
1,C,C,10,2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.688797002718532,0.922199250679633,0.01800537109375,12.618553914184876,0.39347168028997676
2,C,C,10,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.642037133552812,0.910509283388203,0.02191162109375,12.866957440028203,0.3884839609123
2,C,C,10,2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.6738541472168147,0.9184635368042037,0.01873779296875,12.550378328816315,0.3918777757031269
3,C,C,10,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.5931168395077275,0.8982792098769319,0.024566650390625,12.683269115368565,0.38326579621415763
3,C,C,10,2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.69313820777392,0.92328455194348,0.017791748046875,12.645327263302768,0.39393474216255153
4,C,C,10,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.618492159585318,0.9046230398963295,0.021240234375,12.804431977349452,0.38597249702243397
4,C,C,10,2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.679314974841715,0.9198287437104288,0.017852783203125,12.568783581905954,0.39246026398311634
5,C,C,10,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.650769445568562,0.9126923613921405,0.021331787109375,12.878974570391096,0.3894154075273133
5,C,C,10,2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.691226894590329,0.9228067236475822,0.019500732421875,12.65581802624762,0.39373086875630176
6,C,C,10,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.643066303788542,0.9107665759471355,0.02178955078125,12.850501991298653,0.3885937390707778
6,C,C,10,2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.682791016970726,0.9206977542426815,0.01861572265625,12.612971346240505,0.39283104181021083
7,C,C,10,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.624709853447658,0.9061774633619145,0.02154541015625,12.795916439411135,0.38663571770108357
7,C,C,10,2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.675335402026077,0.9188338505065192,0.01959228515625,12.614689465131718,0.39203577621611485
1,S,S,12,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.7561502275496004,0.9390375568874001,0.0155029296875,13.432012945519636,0.4006560242719574
1,S,S,12,-2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.8339811862548325,0.9584952965637081,0.01104736328125,13.415598760297872,0.4089579932005155
2,S,S,12,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.751825004229132,0.937956251057283,0.01629638671875,13.464644869461608,0.40019466711777407
2,S,S,12,-2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.8294856756078968,0.9573714189019742,0.010833740234375,13.464754110914122,0.40847847206484234
3,S,S,12,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.763042398328362,0.9407605995820905,0.015106201171875,13.485207041653682,0.40139118915502525
3,S,S,12,-2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.8090525207425077,0.9522631301856269,0.01214599609375,13.342769474589861,0.4062989355458675
4,S,S,12,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.749130630375234,0.9372826575938085,0.016143798828125,13.48908476737713,0.39990726724002496
4,S,S,12,-2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.8262420971028357,0.9565605242757089,0.010406494140625,13.513553162587673,0.4081324903576358
5,S,S,12,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.7439899870534323,0.9359974967633581,0.015777587890625,13.437345187175332,0.39935893195236616
5,S,S,12,-2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.8316858871081925,0.9579214717770481,0.01129150390625,13.46714548202467,0.4087131612915405
6,S,S,12,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.7612933894603153,0.9403233473650788,0.016448974609375,13.415367058580223,0.4012046282091003
6,S,S,12,-2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.815059848838345,0.9537649622095863,0.011749267578125,13.466419615861838,0.40693971720942346
7,S,S,12,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,3.7469119093503203,0.9367279773375801,0.016143798828125,13.495503616517174,0.3996706036640342
7,S,S,12,-2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,3.809154022856085,0.9522885057140212,0.01202392578125,13.345908811074983,0.40630976243798245
1,C+S,C,12,0.0,0.0,False,q3_evidence_cs_penalty,Uniform raw,uniform_raw,3.621686454143732,0.905421613535933,0.023193359375,12.506371289285838,0.3863132217753314
1,C+S,C,12,0.0,0.36,True,q3_evidence_cs_penalty,PCS raw,pcs_raw,3.693884790946969,0.9234711977367422,0.018096923828125,12.466881691519088,0.39401437770101005
1,C+S,S,12,0.0,0.0,False,q3_evidence_cs_penalty,Uniform raw,uniform_raw,3.564233888690768,0.891058472172692,0.028900146484375,12.169466271899662,0.38018494812701525
1,C+S,S,12,0.0,0.36,True,q3_evidence_cs_penalty,PCS raw,pcs_raw,3.6137770147517396,0.9034442536879349,0.024444580078125,11.852497913996267,0.38546954824018553
2,C+S,C,12,0.0,0.0,False,q3_evidence_cs_penalty,Uniform raw,uniform_raw,3.6263654974590356,0.9065913743647589,0.022979736328125,12.491914898636107,0.3868123197289638
2,C+S,C,12,0.0,0.36,True,q3_evidence_cs_penalty,PCS raw,pcs_raw,3.6720143813719597,0.9180035953429899,0.019683837890625,12.32653570142812,0.39168153401300904
2,C+S,S,12,0.0,0.0,False,q3_evidence_cs_penalty,Uniform raw,uniform_raw,3.570095302482994,0.8925238256207485,0.0286865234375,12.187864661723337,0.38081016559818603
2,C+S,S,12,0.0,0.36,True,q3_evidence_cs_penalty,PCS raw,pcs_raw,3.6397405052242364,0.9099351263060591,0.023590087890625,11.91359499935558,0.3882389872239186
3,C+S,C,12,0.0,0.0,False,q3_evidence_cs_penalty,Uniform raw,uniform_raw,3.605987725375052,0.901496931343763,0.0244140625,12.516792802084199,0.3846386907066722
3,C+S,C,12,0.0,0.36,True,q3_evidence_cs_penalty,PCS raw,pcs_raw,3.704305934091709,0.9260764835229273,0.01776123046875,12.455284311495955,0.39512596630311564
3,C+S,S,12,0.0,0.0,False,q3_evidence_cs_penalty,Uniform raw,uniform_raw,3.5622147171940908,0.8905536792985227,0.028961181640625,12.074780565128023,0.3799695698340364
3,C+S,S,12,0.0,0.36,True,q3_evidence_cs_penalty,PCS raw,pcs_raw,3.622573915725871,0.9056434789314678,0.02398681640625,11.942225418869082,0.38640788434409296
4,C+S,C,12,0.0,0.0,False,q3_evidence_cs_penalty,Uniform raw,uniform_raw,3.6215995582694465,0.9053998895673616,0.02288818359375,12.52384479420267,0.38630395288207425
4,C+S,C,12,0.0,0.36,True,q3_evidence_cs_penalty,PCS raw,pcs_raw,3.696717504904736,0.924179376226184,0.019256591796875,12.400931468370246,0.39431653385650517
