scenario,display_name,selection,spans,launch_power_dbm,pcs_nu,rate_mean_tbps,rate_ci95_tbps,gsnr_mean_db,gsnr_ci95_db,ber_mean,ngmi_mean,score_mean
neural_only,Neural NLI only,best_rate,6,-2.0,0.0,6.400000000000001,1.2309524876080796e-15,21.742407696224944,0.07870068885688009,9.523809523809525e-06,1.0,1.2962201173728072
neural_only,Neural NLI only,best_gsnr,6,-2.0,0.0,6.400000000000001,1.2309524876080796e-15,21.742407696224944,0.07870068885688009,9.523809523809525e-06,1.0,1.2962201173728072
neural_only,Neural NLI only,best_score,6,-2.0,0.0,6.400000000000001,1.2309524876080796e-15,21.742407696224944,0.07870068885688009,9.523809523809525e-06,1.0,1.2962201173728072
pcs_only,PCS only,best_rate,6,-2.0,0.0,6.400000000000001,1.2309524876080796e-15,19.983619600140763,0.0035594698835603607,1.5873015873015875e-06,1.0,1.2259876411484878
pcs_only,PCS only,best_gsnr,6,-2.0,0.0,6.400000000000001,1.2309524876080796e-15,19.983619600140763,0.0035594698835603607,1.5873015873015875e-06,1.0,1.2259876411484878
pcs_only,PCS only,best_score,6,-2.0,0.0,6.400000000000001,1.2309524876080796e-15,19.983619600140763,0.0035594698835603607,1.5873015873015875e-06,1.0,1.2259876411484878
proposed_pcs_neural,PCS + Neural NLI,best_rate,6,-2.0,0.0,6.400000000000001,1.2309524876080796e-15,21.82349099821566,0.0805213521646943,7.936507936507938e-06,1.0,1.2994872589762452
proposed_pcs_neural,PCS + Neural NLI,best_gsnr,6,-2.0,0.0,6.400000000000001,1.2309524876080796e-15,21.82349099821566,0.0805213521646943,7.936507936507938e-06,1.0,1.2994872589762452
proposed_pcs_neural,PCS + Neural NLI,best_score,6,-2.0,0.0,6.400000000000001,1.2309524876080796e-15,21.82349099821566,0.0805213521646943,7.936507936507938e-06,1.0,1.2994872589762452
uniform_baseline,Uniform baseline,best_rate,6,-2.0,0.0,6.400000000000001,1.2309524876080796e-15,19.88929585947331,0.0035628567481926616,3.174603174603175e-06,1.0,1.22219088199798
uniform_baseline,Uniform baseline,best_gsnr,6,-2.0,0.0,6.400000000000001,1.2309524876080796e-15,19.88929585947331,0.0035628567481926616,3.174603174603175e-06,1.0,1.22219088199798
uniform_baseline,Uniform baseline,best_score,6,-2.0,0.0,6.400000000000001,1.2309524876080796e-15,19.88929585947331,0.0035628567481926616,3.174603174603175e-06,1.0,1.22219088199798
