spans,launch_power_dbm,band,pcs_nu,scenario,display_name,n_seeds,gmi_mean,gmi_std,gmi_ci95,ngmi_mean,ngmi_std,ngmi_ci95,ber_mean,ber_std,ber_ci95,gsnr_db_mean,gsnr_db_std,gsnr_db_ci95,rate_tbps_mean,rate_tbps_std,rate_tbps_ci95,score_mean,score_std,score_ci95
6,-2.0,C,0.0,dbp_like,DBP-like,3,0.00136081935201815,0.001640380584053516,0.0018562653766823968,0.0003402048380045375,0.000410095146013379,0.0004640663441705992,0.479736328125,0.0014222632077308403,0.0016094423298501266,-3.0106747353401535,0.04293745719955372,0.04858830684606154,0.00014515406421526935,0.0001749739289657084,0.0001980016401794557,-9.745115145202794,0.02615117596323818,0.029592841424721635
6,-2.0,C,0.0,linear_eq,Linear EQ,3,0.0001176431603751027,0.00010206688113937904,0.00011549954895028542,2.9410790093775674e-05,2.551672028484476e-05,2.8874887237571354e-05,0.5010986328125,0.004255424319715175,0.004815465937947128,-0.0005733282513690837,0.0013267018729805748,0.0015013044996594425,1.254860377334429e-05,1.0887133988200432e-05,1.2319951888030445e-05,-10.021988774058796,0.08516946883145074,0.09637832688288803
6,-2.0,C,0.0,neural_residual,Neural residual,3,0.002985977851350907,0.0028500070984229953,0.0032250866363150474,0.0007464944628377268,0.0007125017746057488,0.0008062716590787618,0.4959920247395833,0.005493616156164607,0.006216611902508782,-0.010566342673902204,0.02539309276694809,0.028734989531327058,0.0003185043041440968,0.0003040007571651195,0.00034400924120693837,-9.920050307621217,0.11136208835752971,0.1260180661138478
6,-2.0,C,0.0,pcs_neural,PCS + Neural,3,0.002985977851350907,0.0028500070984229953,0.0032250866363150474,0.0007464944628377268,0.0007125017746057488,0.0008062716590787618,0.4959920247395833,0.005493616156164607,0.006216611902508782,-0.010566342673902204,0.02539309276694809,0.028734989531327058,0.0003185043041440968,0.0003040007571651195,0.00034400924120693837,-9.920050307621217,0.11136208835752971,0.1260180661138478
6,-2.0,C,0.0,pcs_raw,PCS raw,3,0.0010968161135658978,0.0016009877745324025,0.0018116882162873419,0.00027420402839147445,0.00040024694363310063,0.00045292205407183547,0.4797566731770833,0.0006113679688035774,0.0006918279842708139,-3.009611811572649,0.04367783932711892,0.04942612809454133,0.00011699371878036246,0.00017077202928345627,0.0001932467430706498,-9.745497060401519,0.010355372796144685,0.0117182074519696
6,-2.0,C,0.0,poly_nlc,Polynomial NLC,3,0.0034330379372301545,0.0013437510915340913,0.0015205975066652799,0.0008582594843075386,0.0003359377728835228,0.00038014937666631997,0.4931233723958333,0.0039092688021832925,0.004423754094739255,0.006290652943251006,0.002920611269589207,0.0033049827772833433,0.0003661907133045498,0.0001433334497636364,0.00016219706737762983,-9.861786724556199,0.07846710075885442,0.08879388342148202
6,-2.0,C,0.0,uniform_raw,Uniform raw,3,0.0010968161135658978,0.0016009877745324025,0.0018116882162873419,0.00027420402839147445,0.00040024694363310063,0.00045292205407183547,0.4797566731770833,0.0006113679688035774,0.0006918279842708139,-3.009611811572649,0.04367783932711892,0.04942612809454133,0.00011699371878036246,0.00017077202928345627,0.0001932467430706498,-9.745497060401519,0.010355372796144685,0.0117182074519696
6,-2.0,C,0.08,pcs_neural,PCS + Neural,3,0.0031185365906236293,0.003969906941260731,0.004492372608741508,0.0007796341476559073,0.0009924767353151828,0.001123093152185377,0.486328125,0.0006796587356970241,0.0007691062618630449,-0.0012374623090347647,0.01578483323146517,0.017862220321987546,0.0003326439029998538,0.00042345674040114475,0.0004791864115990943,-9.72629172921245,0.014786958658205765,0.016733018941149494
6,-2.0,C,0.08,pcs_raw,PCS raw,3,0.0016041564994456747,0.0016171887719698681,0.0018300213707413977,0.0004010391248614187,0.00040429719299246703,0.0004575053426853494,0.4756673177083333,0.0008997942866005852,0.0010182130882249048,-3.0432617447862285,0.047783028922090756,0.05407158743729495,0.0001711100266075386,0.0001725001356767859,0.00019520227954574905,-9.66533833137937,0.018761840828662994,0.021231021551726122
6,-2.0,C,0.16,pcs_neural,PCS + Neural,3,0.0013562741131070883,0.002258046431014583,0.002555220080986329,0.0003390685282767721,0.0005645116077536458,0.0006388050202465823,0.4788614908854167,0.006994941353823604,0.007915521296247579,-0.01837647833488844,0.021891867194406476,0.024772979818798068,0.00014466923873142278,0.00024085828597488886,0.00027255680863854173,-9.578003972386346,0.14119792735629091,0.1597804962816167
