scenario_group,spans,launch_power_dbm,symbol_count,ssfm_steps_per_span,pcs_nu,n_pairs,gmi_delta_mean,gmi_delta_std,gmi_delta_ci95,ngmi_delta_mean,ngmi_delta_std,ngmi_delta_ci95,ber_delta_mean,ber_delta_std,ber_delta_ci95,gsnr_db_delta_mean,gsnr_db_delta_std,gsnr_db_delta_ci95,rate_tbps_delta_mean,rate_tbps_delta_std,rate_tbps_delta_ci95,rate_tbps_per_channel_delta_mean,rate_tbps_per_channel_delta_std,rate_tbps_per_channel_delta_ci95,gmi_gain_mean,gmi_gain_ci95,ngmi_gain_mean,ngmi_gain_ci95,rate_gain_mean,rate_gain_ci95,aggregate_rate_gain_mean,aggregate_rate_gain_ci95
C,10,2.0,16384,4,0.36,7,0.04776410464922108,0.014801552784978567,0.01096514375226166,0.01194102616230527,0.003700388196244642,0.002741285938065415,-0.003391810825892857,0.0012071400971171507,0.0008942618984841748,-0.24333281488052855,0.08888269265585189,0.06584522017504793,0.005094837829250243,0.0015788322970644033,0.0011696153335745939,0.005094837829250243,0.0015788322970644033,0.0011696153335745939,0.04776410464922108,0.01096514375226166,0.01194102616230527,0.002741285938065415,0.005094837829250243,0.0011696153335745939,0.005094837829250243,0.0011696153335745939
C,10,2.0,16384,8,0.36,7,0.04776154622837213,0.01480316024904249,0.01096633457830495,0.011940386557093032,0.0037007900622606227,0.0027415836445762376,-0.003391810825892857,0.0012048877537137698,0.0008925933391406852,-0.24335759581315713,0.08888352889169872,0.0658458396672326,0.005094564931026351,0.0015790037598978654,0.0011697423550191947,0.005094564931026351,0.0015790037598978654,0.0011697423550191947,0.04776154622837213,0.01096633457830495,0.011940386557093032,0.0027415836445762376,0.005094564931026351,0.0011697423550191947,0.005094564931026351,0.0011697423550191947
C,10,2.0,16384,12,0.36,7,0.04776107245804357,0.014803457828193546,0.010966555028025085,0.011940268114510892,0.0037008644570483864,0.0027416387570062713,-0.003391810825892857,0.0012048877537137698,0.0008925933391406852,-0.24336218556833192,0.08888368366122694,0.06584595432210362,0.005094514395524663,0.0015790355016739577,0.001169765869655994,0.005094514395524663,0.0015790355016739577,0.001169765869655994,0.04776107245804357,0.010966555028025085,0.011940268114510892,0.0027416387570062713,0.005094514395524663,0.001169765869655994,0.005094514395524663,0.001169765869655994
S,12,-2.0,16384,4,0.36,7,0.06502708538304589,0.009481430322281723,0.007023941877664441,0.01625677134576147,0.0023703575805704307,0.0017559854694161102,-0.004117693219866071,0.0006099336192282356,0.000451845148365933,-0.041270989499131314,0.058150817930488104,0.043078728778138814,0.006936222440858231,0.0010113525677100418,0.0007492204669508673,0.006936222440858231,0.0010113525677100418,0.0007492204669508673,0.06502708538304589,0.007023941877664441,0.01625677134576147,0.0017559854694161102,0.006936222440858231,0.0007492204669508673,0.006936222440858231,0.0007492204669508673
S,12,-2.0,16384,8,0.36,7,0.06502709108648252,0.00948143534452273,0.007023945598192644,0.01625677277162063,0.0023703588361306824,0.001755986399548161,-0.004122052873883929,0.000609551768578803,0.0004515622694461502,-0.041271349272495934,0.05815146078618267,0.04307920501230189,0.006936223049224787,0.0010113531034157402,0.0007492208638072024,0.006936223049224787,0.0010113531034157402,0.0007492208638072024,0.06502709108648252,0.007023945598192644,0.01625677277162063,0.001755986399548161,0.006936223049224787,0.0007492208638072024,0.006936223049224787,0.0007492208638072024
S,12,-2.0,16384,12,0.36,7,0.06502709214347765,0.009481436278207678,0.007023946289876135,0.016256773035869414,0.0023703590695519196,0.0017559865724690337,-0.004122052873883929,0.000609551768578803,0.0004515622694461502,-0.04127141591162114,0.05815157983338724,0.04307929320370522,0.006936223161970971,0.0010113532030088096,0.0007492209375867807,0.006936223161970971,0.0010113532030088096,0.0007492209375867807,0.06502709214347765,0.007023946289876135,0.016256773035869414,0.0017559865724690337,0.006936223161970971,0.0007492209375867807,0.006936223161970971,0.0007492209375867807
