seed,regime,launch_power_dbm,band,spans,display_name,scenario,gmi,ngmi,ber,gsnr_db,rate_tbps
1,easy,-2.0,C,6,Raw,raw,4.0,1.0,0.0,27.181354392490974,0.4266666666666667
1,easy,-2.0,C,6,Linear EQ,linear,4.0,1.0,0.0,27.196263020775916,0.4266666666666667
1,easy,-2.0,C,6,DBP-like,dbp_like,4.0,1.0,0.0,25.367973202580664,0.4266666666666667
1,easy,-2.0,C,6,Polynomial NLC,poly_nlc,4.0,1.0,0.0,27.456224418970248,0.4266666666666667
1,easy,-2.0,C,6,Neural residual,neural_residual,4.0,1.0,0.0,29.55635060068003,0.4266666666666667
1,easy,0.0,C,6,Raw,raw,4.0,1.0,0.0,27.200025911601703,0.4266666666666667
1,easy,0.0,C,6,Linear EQ,linear,4.0,1.0,0.0,27.20508039559204,0.4266666666666667
1,easy,0.0,C,6,DBP-like,dbp_like,4.0,1.0,0.0,25.455822583211173,0.4266666666666667
1,easy,0.0,C,6,Polynomial NLC,poly_nlc,4.0,1.0,0.0,27.482061529311498,0.4266666666666667
1,easy,0.0,C,6,Neural residual,neural_residual,4.0,1.0,0.0,29.369161171533232,0.4266666666666667
1,easy,2.0,C,6,Raw,raw,4.0,1.0,0.0,27.11293865937688,0.4266666666666667
1,easy,2.0,C,6,Linear EQ,linear,4.0,1.0,0.0,27.117908366816728,0.4266666666666667
1,easy,2.0,C,6,DBP-like,dbp_like,4.0,1.0,0.0,25.68637363644312,0.4266666666666667
1,easy,2.0,C,6,Polynomial NLC,poly_nlc,4.0,1.0,0.0,27.45132777468424,0.4266666666666667
1,easy,2.0,C,6,Neural residual,neural_residual,4.0,1.0,0.0,29.455593371859244,0.4266666666666667
1,easy,4.0,C,6,Raw,raw,4.0,1.0,0.0,26.82238671300545,0.4266666666666667
1,easy,4.0,C,6,Linear EQ,linear,4.0,1.0,0.0,26.842806084141493,0.4266666666666667
1,easy,4.0,C,6,DBP-like,dbp_like,4.0,1.0,0.0,25.768376878427173,0.4266666666666667
1,easy,4.0,C,6,Polynomial NLC,poly_nlc,4.0,1.0,0.0,27.2780919995645,0.4266666666666667
1,easy,4.0,C,6,Neural residual,neural_residual,4.0,1.0,0.0,29.574510429934353,0.4266666666666667
1,medium,-2.0,C,6,Raw,raw,3.999999729980451,0.9999999324951128,0.0,20.350192248549487,0.4266666378645815
1,medium,-2.0,C,6,Linear EQ,linear,3.9999997284366478,0.9999999321091619,0.0,20.351041572232226,0.42666663769990915
1,medium,-2.0,C,6,DBP-like,dbp_like,3.999997240478825,0.9999993101197062,0.0,20.011658279950836,0.42666637231774135
1,medium,-2.0,C,6,Polynomial NLC,poly_nlc,3.999998322993757,0.9999995807484392,0.0,20.911734845663105,0.42666648778600075
1,medium,-2.0,C,6,Neural residual,neural_residual,3.999999999897559,0.9999999999743897,0.0,24.050566878543,0.4266666666557396
1,medium,0.0,C,6,Raw,raw,3.9999999081424322,0.9999999770356081,0.0,20.28451195720735,0.4266666568685261
1,medium,0.0,C,6,Linear EQ,linear,3.9999999143433405,0.9999999785858351,0.0,20.28829053019652,0.4266666575299563
