seed,spans,launch_power_dbm,pcs_nu,scenario,display_name,band,channel_id,shaped,neural_nli,ase_var,nli_var,implementation_var,total_noise_var,gsnr_db,entropy_bits_per_symbol,ser,ber,gmi_bits_per_symbol,ngmi,net_rate_tbps,parameter_count,train_time_s,inference_time_s,residual_mse_before,residual_mse_after,residual_mse_improvement_percent,score
1,6,-2.0,0.0,uniform_baseline,Uniform baseline,O,0,False,False,0.004222833195542727,0.0041347161916704634,0.005157396681095,0.01351494606830819,19.18001959567395,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.012127776541632461,0.012127776541632461,0.0,1.1938674504936246
1,6,-2.0,0.0,uniform_baseline,Uniform baseline,O,1,False,False,0.004222833195542727,0.003891497592160436,0.005157396681095,0.013271727468798162,19.353101799341484,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.01179719864198171,0.01179719864198171,0.0,1.200790738640326
1,6,-2.0,0.0,uniform_baseline,Uniform baseline,O,2,False,False,0.004222833195542727,0.0041347161916704634,0.005157396681095,0.01351494606830819,19.259582523210568,4.0,0.00028571428571428574,7.142857142857143e-05,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.011785641481137265,0.011785641481137265,0.0,1.1959785390236608
1,6,-2.0,0.0,uniform_baseline,Uniform baseline,E,0,False,False,0.003746311857259204,0.0036753032814848554,0.005157396681095,0.012579011819839059,19.44154988956268,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.011509979917881157,0.011509979917881157,0.0,1.204328662249174
1,6,-2.0,0.0,uniform_baseline,Uniform baseline,E,1,False,False,0.003746311857259204,0.0034591089708092757,0.005157396681095,0.01236281750916348,19.631473811455344,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.011019965675099006,0.011019965675099006,0.0,1.2119256191248804
1,6,-2.0,0.0,uniform_baseline,Uniform baseline,E,2,False,False,0.003746311857259204,0.0036753032814848554,0.005157396681095,0.012579011819839059,19.493891749947515,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.011212862563490286,0.011212862563490286,0.0,1.2064223366645672
1,6,-2.0,0.0,uniform_baseline,Uniform baseline,S,0,False,False,0.0031304294951613027,0.0027564774611136414,0.005157396681095,0.011044303637369943,19.971741701935514,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.010214820574556176,0.010214820574556176,0.0,1.2255363347440873
1,6,-2.0,0.0,uniform_baseline,Uniform baseline,S,1,False,False,0.0031304294951613027,0.0025943317281069567,0.005157396681095,0.01088215790436326,19.96578237043847,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.010136695064194104,0.010136695064194104,0.0,1.2252979614842054
1,6,-2.0,0.0,uniform_baseline,Uniform baseline,S,2,False,False,0.0031304294951613027,0.0027564774611136414,0.005157396681095,0.011044303637369943,20.03665450737887,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.009938620086944539,0.009938620086944539,0.0,1.2281328469618216
1,6,-2.0,0.0,uniform_baseline,Uniform baseline,C,0,False,False,0.0026400000000000004,0.0020231027237531314,0.005157396681095,0.00982049940484813,20.37322517096922,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.009189093673116742,0.009189093673116742,0.0,1.2415956735054356
1,6,-2.0,0.0,uniform_baseline,Uniform baseline,C,1,False,False,0.0026400000000000004,0.0019040966811794179,0.005157396681095,0.009701493362274417,20.423179008880865,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.009179384543404365,0.009179384543404365,0.0,1.2435938270219014
1,6,-2.0,0.0,uniform_baseline,Uniform baseline,C,2,False,False,0.0026400000000000004,0.0020231027237531314,0.005157396681095,0.00982049940484813,20.349316691016735,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.009123821679971627,0.009123821679971627,0.0,1.240639334307336
1,6,-2.0,0.0,uniform_baseline,Uniform baseline,L,0,False,False,0.0029349717600234016,0.0018376516407424277,0.005157396681095,0.009930020081860828,20.310363703828862,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.00921240787863504,0.00921240787863504,0.0,1.2390812148198211
1,6,-2.0,0.0,uniform_baseline,Uniform baseline,L,1,False,False,0.0029349717600234016,0.0017295544854046378,0.005157396681095,0.00982192292652304,20.317356339179675,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.009314442245680746,0.009314442245680746,0.0,1.2393609202338538
1,6,-2.0,0.0,uniform_baseline,Uniform baseline,L,2,False,False,0.0029349717600234016,0.0018376516407424277,0.005157396681095,0.009930020081860828,20.2774063861259,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.009276151203581006,0.009276151203581006,0.0,1.2377629221117028
1,6,-2.0,0.0,pcs_only,PCS only,O,0,True,False,0.004222833195542727,0.0036385502486700073,0.005157396681095,0.013018780125307734,19.300889162352714,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.011794899089844805,0.011794899089844805,0.0,1.1987022331607753
1,6,-2.0,0.0,pcs_only,PCS only,O,1,True,False,0.004222833195542727,0.0034245178811011835,0.005157396681095,0.01280474775773891,19.467895084508037,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.011489458575052838,0.011489458575052838,0.0,1.2053824700469882
1,6,-2.0,0.0,pcs_only,PCS only,O,2,True,False,0.004222833195542727,0.0036385502486700073,0.005157396681095,0.013018780125307734,19.38037408975444,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.011462360654412779,0.011462360654412779,0.0,1.2018816302568442
1,6,-2.0,0.0,pcs_only,PCS only,E,0,True,False,0.003746311857259204,0.003234266887706673,0.005157396681095,0.012137975426060876,19.55649138688978,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.01120934964900205,0.01120934964900205,0.0,1.208926322142258
1,6,-2.0,0.0,pcs_only,PCS only,E,1,True,False,0.003746311857259204,0.003044015894312163,0.005157396681095,0.011947724432666368,19.7411500343093,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.010745153388797888,0.010745153388797888,0.0,1.2163126680390386
1,6,-2.0,0.0,pcs_only,PCS only,E,2,True,False,0.003746311857259204,0.003234266887706673,0.005157396681095,0.012137975426060876,19.608906292390472,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.010919809066626844,0.010919809066626844,0.0,1.2110229183622856
1,6,-2.0,0.0,pcs_only,PCS only,S,0,True,False,0.0031304294951613027,0.0024257001657800046,0.005157396681095,0.010713526342036307,20.068872753847238,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.009988899355801899,0.009988899355801899,0.0,1.2294215768205563
1,6,-2.0,0.0,pcs_only,PCS only,S,1,True,False,0.0031304294951613027,0.0022830119207341223,0.005157396681095,0.010570838096990425,20.0573546115849,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.009925197511156914,0.009925197511156914,0.0,1.2289608511300627
1,6,-2.0,0.0,pcs_only,PCS only,S,2,True,False,0.0031304294951613027,0.0024257001657800046,0.005157396681095,0.010713526342036307,20.133354268774838,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.009719772801538107,0.009719772801538107,0.0,1.2320008374176603
1,6,-2.0,0.0,pcs_only,PCS only,C,0,True,False,0.0026400000000000004,0.0017803303969027556,0.005157396681095,0.009577727077997755,20.450973534831462,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.009026052231335365,0.009026052231335365,0.0,1.2447056080599253
1,6,-2.0,0.0,pcs_only,PCS only,C,1,True,False,0.0026400000000000004,0.0016756050794378878,0.005157396681095,0.009473001760532888,20.49708218659682,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.009024502009099688,0.009024502009099688,0.0,1.2465499541305396
1,6,-2.0,0.0,pcs_only,PCS only,C,2,True,False,0.0026400000000000004,0.0017803303969027556,0.005157396681095,0.009577727077997755,20.427008726537125,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.008962054592378447,0.008962054592378447,0.0,1.2437470157281516
1,6,-2.0,0.0,pcs_only,PCS only,L,0,True,False,0.0029349717600234016,0.0016171334438533364,0.005157396681095,0.009709501884971737,20.37968692717673,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.009066524422284268,0.009066524422284268,0.0,1.241854143753736
1,6,-2.0,0.0,pcs_only,PCS only,L,1,True,False,0.0029349717600234016,0.0015220079471560816,0.005157396681095,0.009614376388274483,20.38313500320453,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.00917442781154741,0.00917442781154741,0.0,1.2419920667948479
1,6,-2.0,0.0,pcs_only,PCS only,L,2,True,False,0.0029349717600234016,0.0016171334438533364,0.005157396681095,0.009709501884971737,20.34719828308082,4.0,0.0,0.0,4.0,1.0,0.4266666666666667,0,0.0,0.0,0.0091282731965667,0.0091282731965667,0.0,1.2405545979898995
1,6,-2.0,0.06,pcs_only,PCS only,O,0,True,False,0.004222833195542727,0.0036385502486700073,0.005157396681095,0.013018780125307734,19.225040681750116,3.999169246920991,0.0,0.0,3.999169246920991,1.0,0.4265780530049057,0,0.0,0.0,0.011789589250139676,0.011789589250139676,0.0,1.1955796802749104
1,6,-2.0,0.06,pcs_only,PCS only,O,1,True,False,0.004222833195542727,0.0034245178811011835,0.005157396681095,0.01280474775773891,19.3806893839613,3.999169246920991,0.0,0.0,3.999169246920991,1.0,0.4265780530049057,0,0.0,0.0,0.011482616895657096,0.011482616895657096,0.0,1.2018056283633576
1,6,-2.0,0.06,pcs_only,PCS only,O,2,True,False,0.004222833195542727,0.0036385502486700073,0.005157396681095,0.013018780125307734,19.300161973389727,3.999169246920991,0.0,0.0,3.999169246920991,1.0,0.4265780530049057,0,0.0,0.0,0.011469257853770459,0.011469257853770459,0.0,1.1985845319404949
1,6,-2.0,0.06,pcs_only,PCS only,E,0,True,False,0.003746311857259204,0.003234266887706673,0.005157396681095,0.012137975426060876,19.46298811768526,3.999169246920991,0.0,0.0,3.999169246920991,1.0,0.4265780530049057,0,0.0,0.0,0.011210165849953142,0.011210165849953142,0.0,1.205097577712316
1,6,-2.0,0.06,pcs_only,PCS only,E,1,True,False,0.003746311857259204,0.003044015894312163,0.005157396681095,0.011947724432666368,19.631486368184465,3.999169246920991,0.0,0.0,3.999169246920991,1.0,0.4265780530049057,0,0.0,0.0,0.010741263100368045,0.010741263100368045,0.0,1.2118375077322843
1,6,-2.0,0.06,pcs_only,PCS only,E,2,True,False,0.003746311857259204,0.003234266887706673,0.005157396681095,0.012137975426060876,19.52752845091052,3.999169246920991,0.0,0.0,3.999169246920991,1.0,0.4265780530049057,0,0.0,0.0,0.010917383335913907,0.010917383335913907,0.0,1.2076791910413265
1,6,-2.0,0.06,pcs_only,PCS only,S,0,True,False,0.0031304294951613027,0.0024257001657800046,0.005157396681095,0.010713526342036307,19.98789693826975,3.999169246920991,0.0,0.0,3.999169246920991,1.0,0.4265780530049057,0,0.0,0.0,0.009984357429405356,0.009984357429405356,0.0,1.2260939305356957
1,6,-2.0,0.06,pcs_only,PCS only,S,1,True,False,0.0031304294951613027,0.0022830119207341223,0.005157396681095,0.010570838096990425,19.983844692656646,3.999169246920991,0.0,0.0,3.999169246920991,1.0,0.4265780530049057,0,0.0,0.0,0.009927145072310054,0.009927145072310054,0.0,1.2259318407111714
1,6,-2.0,0.06,pcs_only,PCS only,S,2,True,False,0.0031304294951613027,0.0024257001657800046,0.005157396681095,0.010713526342036307,20.053186019295527,3.999169246920991,0.0,0.0,3.999169246920991,1.0,0.4265780530049057,0,0.0,0.0,0.009715713211060541,0.009715713211060541,0.0,1.2287054937767268
1,6,-2.0,0.06,pcs_only,PCS only,C,0,True,False,0.0026400000000000004,0.0017803303969027556,0.005157396681095,0.009577727077997755,20.376747082129935,3.999169246920991,0.0,0.0,3.999169246920991,1.0,0.4265780530049057,0,0.0,0.0,0.009020269164922604,0.009020269164922604,0.0,1.2416479362901032
1,6,-2.0,0.06,pcs_only,PCS only,C,1,True,False,0.0026400000000000004,0.0016756050794378878,0.005157396681095,0.009473001760532888,20.400461691906443,3.999169246920991,0.0,0.0,3.999169246920991,1.0,0.4265780530049057,0,0.0,0.0,0.009031595166698188,0.009031595166698188,0.0,1.2425965206811633
