regime,launch_power_dbm,display_name,scenario,n_seeds,gmi_mean,gmi_std,gmi_ci95,ngmi_mean,ngmi_std,ngmi_ci95,ber_mean,ber_std,ber_ci95,gsnr_db_mean,gsnr_db_std,gsnr_db_ci95,rate_tbps_mean,rate_tbps_std,rate_tbps_ci95
easy,-2.0,DBP-like,dbp_like,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.359646016658886,0.01378448640065977,0.01559861479076084,0.4266666666666667,0.0,0.0
easy,-2.0,Linear EQ,linear,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.187287078631908,0.01516321709806,0.01715879544775753,0.4266666666666667,0.0,0.0
easy,-2.0,Neural residual,neural_residual,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.626005455214834,0.3531263939299639,0.39960013244311593,0.4266666666666667,0.0,0.0
easy,-2.0,Polynomial NLC,poly_nlc,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.430219718209305,0.028741599905873515,0.032524182067489325,0.4266666666666667,0.0,0.0
easy,-2.0,Raw,raw,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.17858813076677,0.020121600364040395,0.022769734317941395,0.4266666666666667,0.0,0.0
easy,0.0,DBP-like,dbp_like,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.444007667559635,0.010233342507781906,0.011580117181091948,0.4266666666666667,0.0,0.0
easy,0.0,Linear EQ,linear,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.15943642109174,0.0548673733154067,0.062088277796620385,0.4266666666666667,0.0,0.0
easy,0.0,Neural residual,neural_residual,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.709529384200877,0.2950892668112989,0.3339249405518065,0.4266666666666667,0.0,0.0
easy,0.0,Polynomial NLC,poly_nlc,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.415162588263883,0.06186671156517166,0.07000877464901643,0.4266666666666667,0.0,0.0
easy,0.0,Raw,raw,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.121590408122,0.06870166978988973,0.07774325799206046,0.4266666666666667,0.0,0.0
easy,2.0,DBP-like,dbp_like,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.64047039512418,0.05768700042386695,0.06527898623798482,0.4266666666666667,0.0,0.0
easy,2.0,Linear EQ,linear,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.112136640241573,0.049918874638792,0.0564885243922855,0.4266666666666667,0.0,0.0
easy,2.0,Neural residual,neural_residual,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.45380112241328,0.13045010091154813,0.14761818571910845,0.4266666666666667,0.0,0.0
easy,2.0,Polynomial NLC,poly_nlc,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.432049596195082,0.06444896264601065,0.07293086682802612,0.4266666666666667,0.0,0.0
easy,2.0,Raw,raw,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.1092984442986,0.05213702350739055,0.05899859613120605,0.4266666666666667,0.0,0.0
easy,4.0,DBP-like,dbp_like,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.804625806390153,0.0313996180194188,0.03553201271528722,0.4266666666666667,0.0,0.0
easy,4.0,Linear EQ,linear,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.87293154285938,0.029827042338159172,0.033752475809210467,0.4266666666666667,0.0,0.0
easy,4.0,Neural residual,neural_residual,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.786954184525047,0.21669050132308712,0.24520838576864987,0.4266666666666667,0.0,0.0
easy,4.0,Polynomial NLC,poly_nlc,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.32988777529367,0.04516722524607667,0.05111152692256682,0.4266666666666667,0.0,0.0
easy,4.0,Raw,raw,3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.853628667300054,0.027110409758990126,0.030678316649500256,0.4266666666666667,0.0,0.0
hard,-2.0,DBP-like,dbp_like,3,3.918177654121704,0.006005832447480216,0.0067962392013105645,0.979544413530426,0.001501458111870054,0.0016990598003276411,0.005138888888888888,0.00040919221840711765,0.00046304458539739307,15.056499984924182,0.007867477473616331,0.008902888864981985,0.4179389497729818,0.0006406221277312381,0.0007249321814731439
hard,-2.0,Linear EQ,linear,3,3.9170201302813665,0.006045126663247091,0.006840704792369741,0.9792550325703416,0.0015112816658117729,0.0017101761980924354,0.00512037037037037,0.00011226255234242755,0.0001270370370370374,15.031958246611547,0.015742327972984083,0.017814121094032524,0.4178154805633458,0.0006448135107463641,0.0007296751778527811
hard,-2.0,Neural residual,neural_residual,3,3.8282045500770416,0.01825658380109473,0.020659269401208206,0.9570511375192604,0.004564145950273682,0.005164817350302052,0.004990740740740741,0.0004781759753213098,0.0005411070550206693,18.43891228977849,0.09593229411785521,0.10855761023252725,0.40834181867488445,0.0019473689387834452,0.0022036554027955505
hard,-2.0,Polynomial NLC,poly_nlc,3,3.8835045534165857,0.014459151070742901,0.016362069735375885,0.9708761383541464,0.0036147877676857253,0.004090517433843971,0.006694444444444444,0.0005833333333333332,0.000660103807773472,15.903954128220578,0.006019574914498651,0.006811790266694114,0.4142404856977691,0.0015423094475458862,0.001745287438440068
hard,-2.0,Raw,raw,3,3.9165409915990885,0.006507639161682947,0.007364086954701737,0.9791352478997721,0.0016269097904207368,0.0018410217386754342,0.005175925925925926,0.00016276292436339748,0.00018418358766278455,15.032100400286069,0.01691561670737048,0.0191418222846374,0.4177643724372362,0.0006941481772461956,0.000785502608501535
hard,0.0,DBP-like,dbp_like,3,3.9116601503628843,0.007574227336067184,0.00857104509510835,0.9779150375907211,0.001893556834016796,0.0021427612737770873,0.005592592592592593,0.0005613127617121363,0.0006351851851851854,14.993326198192193,0.05524154620025942,0.06251169427557501,0.41724374937204106,0.0008079175825138444,0.0009142448101449036
hard,0.0,Linear EQ,linear,3,3.9067321625231632,0.007693554014763829,0.008706075943639693,0.9766830406307908,0.0019233885036909573,0.0021765189859099233,0.005981481481481481,0.0006348503598674795,0.0007184008112826554,14.885195628454175,0.053322426756733245,0.06034000618601433,0.41671809733580417,0.0008206457615748153,0.0009286481006549084
hard,0.0,Neural residual,neural_residual,3,3.8182697167724395,0.007890921950895512,0.008929418788507547,0.9545674291931099,0.001972730487723878,0.002232354697126887,0.005361111111111111,0.0003379312516832344,0.000382405210288729,18.161095929718133,0.09073549361690968,0.10267687686296169,0.4072821031223936,0.0008416983414288499,0.0009524713374407998
hard,0.0,Polynomial NLC,poly_nlc,3,3.869719460443658,0.009183941711026971,0.010392608389403177,0.9674298651109146,0.0022959854277567427,0.0025981520973507944,0.007398148148148148,0.0005613127617121363,0.0006351851851851854,15.878343729364525,0.021511956627185427,0.02434307054102208,0.4127700757806569,0.0009796204491762217,0.0011085448948696852
hard,0.0,Raw,raw,3,3.905794166249628,0.008832631534504667,0.009995063500434132,0.976448541562407,0.0022081578836261667,0.002498765875108533,0.006074074074074075,0.0007298387555162425,0.0008258902998461552,14.883077932982657,0.05208722088079461,0.05894223915385788,0.41661804439996036,0.0009421473636805197,0.0010661401067129988
hard,2.0,DBP-like,dbp_like,3,3.891522513649712,0.012440044065085394,0.014077235067827406,0.972880628412428,0.0031100110162713486,0.0035193087669568514,0.006879629629629629,0.0006714718799746626,0.0007598419624870057,14.77946900572096,0.05247156645193942,0.059377167111023976,0.41509573478930256,0.001326938033609078,0.0015015717405682217
hard,2.0,Linear EQ,linear,3,3.875641347682844,0.012532051986816777,0.01418135183265062,0.968910336920711,0.003133012996704194,0.003545337958162655,0.007990740740740741,0.0006037008634334457,0.0006831518377860864,14.509018614327019,0.03770177186849113,0.042663571148910465,0.4134017437528367,0.001336752211927109,0.0015126775288160502
hard,2.0,Neural residual,neural_residual,3,3.8040587989235797,0.0362919221838817,0.041068176042855176,0.9510146997308949,0.009072980545970425,0.010267044010713794,0.005851851851851852,0.000736154785566702,0.0008330375606798466,17.998302904040063,0.06687203221542926,0.0756728281696374,0.40576627188518194,0.0038711383662807055,0.004380605444571209
hard,2.0,Polynomial NLC,poly_nlc,3,3.863748707680344,0.018874748367169552,0.02135878845931671,0.965937176920086,0.004718687091792388,0.0053396971148291774,0.0076296296296296294,0.0008767985630488965,0.0009921909773466606,15.76078229124389,0.10738727162582362,0.12152013755418911,0.4121331954859033,0.0020133064924981302,0.0022782707689938332
hard,2.0,Raw,raw,3,3.874984388983124,0.012258273114016527,0.013871541873067694,0.968746097245781,0.003064568278504132,0.0034678854682669235,0.00800925925925926,0.0005161985135098648,0.000584133607431202,14.509277340102324,0.03834669918462615,0.043393375109683927,0.41333166815819994,0.0013075491321617983,0.0014796311331272606
hard,4.0,DBP-like,dbp_like,3,3.8224193767605557,0.006770941419794742,0.007662041508715935,0.9556048441901389,0.0016927353549486856,0.0019155103771789838,0.01075925925925926,0.00021576259625427825,0.0002441583623357818,14.055183003731022,0.03683422932377513,0.041681854342328996,0.407724733521126,0.0007222337514447452,0.0008172844275963354
hard,4.0,Linear EQ,linear,3,3.7792774028164833,0.006200613982661379,0.0070166552579797896,0.9448193507041208,0.0015501534956653448,0.0017541638144949474,0.01349074074074074,0.0008536113069626513,0.0009659521270020621,13.630810348515823,0.04115219518606781,0.04656809269810373,0.40312292296709157,0.0006613988248172052,0.0007484432275178344
hard,4.0,Neural residual,neural_residual,3,3.7540053967898395,0.015519841736710322,0.017562354216761385,0.9385013491974599,0.0038799604341775806,0.004390588554190346,0.007953703703703704,0.00030973571636440253,0.00035049895847243356,17.20963987994219,0.316655639272448,0.35832958840574736,0.4004272423242495,0.0016554497852491058,0.0018733177831212196
hard,4.0,Polynomial NLC,poly_nlc,3,3.82457416568986,0.007425384929266132,0.008402614055986848,0.956143541422465,0.001856346232316533,0.002100653513996712,0.009833333333333333,0.00036430214023899955,0.0004122466799173526,15.429458174809161,0.04173535307079784,0.04722799796709245,0.4079545776735851,0.0007920410591217164,0.0008962788326385921
hard,4.0,Raw,raw,3,3.778093273227578,0.005984208320608981,0.00677176919818917,0.9445233183068945,0.0014960520801522452,0.0016929422995472926,0.013629629629629629,0.0008157086847865569,0.0009230612723339952,13.630207318473161,0.04053722338396645,0.04587218659254873,0.4029966158109417,0.000638315554198316,0.000722322047806873
medium,-2.0,DBP-like,dbp_like,3,3.999987509097714,1.3996082284897494e-05,1.5838058074580013e-05,0.9999968772744285,3.4990205712243736e-06,3.959514518645003e-06,0.0,0.0,0.0,20.0216395603415,0.02256138758064765,0.025530613458237664,0.42666533430375625,1.492915443708636e-06,1.6893928612729599e-06
medium,-2.0,Linear EQ,linear,3,3.999980200612521,2.6607599619828783e-05,3.0109333413875948e-05,0.9999950501531303,6.651899904957196e-06,7.527333353468987e-06,0.0,0.0,0.0,20.350470195679478,0.01013161769242383,0.011465004716012658,0.42666455473200227,2.838143959430727e-06,3.211662230793432e-06
medium,-2.0,Neural residual,neural_residual,3,3.99961857495093,0.0006606474094546488,0.000747592920988618,0.9999046437377325,0.0001651618523636622,0.0001868982302471545,9.259259259259259e-06,1.6037507477489605e-05,1.814814814814815e-05,24.85958807304878,0.7301734503542487,0.826269042709601,0.42662598132809926,7.046905700849972e-05,7.974324490545693e-05
medium,-2.0,Polynomial NLC,poly_nlc,3,3.9997807776706957,0.00036145207951037025,0.0004090215325927461,0.9999451944176739,9.036301987759256e-05,0.00010225538314818652,1.8518518518518518e-05,3.207501495497921e-05,3.62962962962963e-05,20.891386060516215,0.017644189660733153,0.019966280194503912,0.42664328295154097,3.8554888481111597e-05,4.362896347656573e-05
medium,-2.0,Raw,raw,3,3.999980195954779,2.604148586436384e-05,2.9468715392821066e-05,0.9999950489886947,6.51037146609096e-06,7.3671788482052665e-06,0.0,0.0,0.0,20.3476756056461,0.007810975634763487,0.008838951015314043,0.4266645542351765,2.777758492230614e-06,3.1433296419369035e-06
medium,0.0,DBP-like,dbp_like,3,3.9999899057884463,1.0022559289374543e-05,1.134159351523118e-05,0.9999974764471116,2.5056398223436358e-06,2.835398378807795e-06,0.0,0.0,0.0,20.086778992603318,0.00668052988394288,0.007559731224574572,0.42666558995076764,1.069072990846535e-06,1.2097699749352664e-06
medium,0.0,Linear EQ,linear,3,3.9999941649777178,5.137084037536931e-06,5.813157829766487e-06,0.9999985412444294,1.2842710093842327e-06,1.4532894574416217e-06,0.0,0.0,0.0,20.274755163539478,0.01220670491936168,0.013813186967379118,0.42666604426428983,5.479556306541895e-07,6.200701684898481e-07
medium,0.0,Neural residual,neural_residual,3,3.9996065347873944,0.0006814954298745534,0.0007711846769835633,0.9999016336968486,0.00017037385746863836,0.00019279616924589084,9.259259259259259e-06,1.6037507477489605e-05,1.814814814814815e-05,24.576658088865162,0.2550214845198655,0.2885839765638974,0.4266246970439887,7.269284585329809e-05,8.225969887826078e-05
medium,0.0,Polynomial NLC,poly_nlc,3,3.999972665569631,1.1846823690682196e-05,1.340594301984051e-05,0.9999931663924078,2.961705922670549e-06,3.3514857549601273e-06,0.0,0.0,0.0,20.85969419330984,0.04804990470042574,0.05437358581012027,0.42666375099409404,1.2636611936588428e-06,1.4299672554338968e-06
medium,0.0,Raw,raw,3,3.999994341880845,5.091975150817519e-06,5.762112319101505e-06,0.9999985854702113,1.2729937877043798e-06,1.4405280797753762e-06,0.0,0.0,0.0,20.272997477899384,0.010515739759869103,0.011899679754933416,0.4266660631339569,5.431440160823289e-07,6.146253140319793e-07
medium,2.0,DBP-like,dbp_like,3,3.999968133525748,3.842749125223844e-05,4.3484799940773235e-05,0.999992033381437,9.60687281305961e-06,1.0871199985193309e-05,0.0,0.0,0.0,20.09433045435492,0.027730289499500346,0.03137977661019584,0.4266632675760798,4.098932400225854e-06,4.638378660334533e-06
medium,2.0,Linear EQ,linear,3,3.999940206149987,7.242752283010244e-05,8.195945761328692e-05,0.9999850515374967,1.810688070752561e-05,2.048986440332173e-05,9.259259259259259e-06,1.6037507477489605e-05,1.814814814814815e-05,20.075552600767036,0.03004650618169518,0.034000822527130554,0.4266602886559987,7.725602435219216e-06,8.742342145426652e-06
medium,2.0,Neural residual,neural_residual,3,3.999268529048415,0.0012669379427555079,0.0014336752461010286,0.9998171322621038,0.00031673448568887697,0.00035841881152525715,9.259259259259259e-06,1.6037507477489605e-05,1.814814814814815e-05,24.980196771127016,0.32470841103763004,0.3674421575005943,0.4265886430984977,0.000135140047227273,0.00015292535958413102
medium,2.0,Polynomial NLC,poly_nlc,3,3.999598855254145,0.0004327054778455175,0.000489652343263313,0.9998997138135363,0.00010817636946137938,0.00012241308581582825,1.8518518518518518e-05,1.6037507477489605e-05,1.814814814814815e-05,20.82053518003178,0.06178306924637034,0.06991412445507628,0.4266238778937754,4.615525097017691e-05,5.22295832814069e-05
medium,2.0,Raw,raw,3,3.9999426637640187,7.041663960967635e-05,7.9683929034788e-05,0.9999856659410047,1.7604159902419088e-05,1.9920982258697e-05,9.259259259259259e-06,1.6037507477489605e-05,1.814814814814815e-05,20.075162333088993,0.030471428449221204,0.03448166733879056,0.42666055080149534,7.511108225052917e-06,8.49961909706756e-06
