spans,launch_power_dbm,pcs_nu,scenario,display_name,n_seeds,n_channels_per_seed,total_net_rate_tbps_mean,total_net_rate_tbps_std,total_net_rate_tbps_ci95,mean_gsnr_db_mean,mean_gsnr_db_std,mean_gsnr_db_ci95,mean_ber_mean,mean_ber_std,mean_ber_ci95,mean_ngmi_mean,mean_ngmi_std,mean_ngmi_ci95,mean_score_mean,mean_score_std,mean_score_ci95,mean_inference_time_ms_per_channel_mean,mean_inference_time_ms_per_channel_std,mean_inference_time_ms_per_channel_ci95,mean_residual_mse_improvement_percent_mean,mean_residual_mse_improvement_percent_std,mean_residual_mse_improvement_percent_ci95
6,-2.0,0.0,pcs_only,PCS only,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,19.983619600140763,0.0031455013705805205,0.0035594698835603607,1.5873015873015875e-06,2.749286996141075e-06,3.111111111111111e-06,1.0,0.0,0.0,1.2259876411484878,0.00016344728693417395,0.0001849580168151283,0.0,0.0,0.0,0.0,0.0,0.0
6,-2.0,0.0,uniform_baseline,Uniform baseline,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,19.88929585947331,0.003148494340795573,0.0035628567481926616,3.174603174603175e-06,2.7492869961410754e-06,3.1111111111111116e-06,1.0,0.0,0.0,1.22219088199798,0.00013522981897419733,0.00015302694587894568,0.0,0.0,0.0,0.0,0.0,0.0
6,-2.0,0.06,pcs_only,PCS only,3,15,6.398670795073586,0.0,0.0,19.899571881638646,0.002503457655626879,0.0028329290247067758,1.587631319703381e-06,2.7498581094138837e-06,3.1117573866186273e-06,1.0,0.0,0.0,1.222537113800656,0.00013830343265679596,0.00015650506718553083,0.0,0.0,0.0,0.0,0.0,0.0
6,-2.0,0.12,pcs_only,PCS only,3,15,6.394687769473973,0.0,0.0,19.814834918763825,0.0036452447353673375,0.004124982737283741,1.5886201992886068e-06,2.7515708990980623e-06,3.1136955906056695e-06,1.0,0.0,0.0,1.218882085412495,0.0001869889515107296,0.00021159791812080302,0.0,0.0,0.0,0.0,0.0,0.0
6,-2.0,0.18,pcs_only,PCS only,3,15,6.388064655570683,0.0,0.0,19.727224284878563,0.004525244339199403,0.005120796033275787,1.5902672728697704e-06,2.7544237142244422e-06,3.1169238548247506e-06,1.0,0.0,0.0,1.2149360944240948,0.0002220918356486669,0.0002513205709492889,0.0,0.0,0.0,0.0,0.0,0.0
6,-2.0,0.24,pcs_only,PCS only,3,15,6.3788242238952835,1.0877919644084146e-15,1.2309524876080796e-15,19.6379419702312,0.004734847133230815,0.005357983923207376,1.5925709507208592e-06,2.7584138013067984e-06,3.1214390634128835e-06,1.0,0.0,0.0,1.210748738504673,0.00023054085318877055,0.0002608815343495756,0.0,0.0,0.0,0.0,0.0,0.0
6,-2.0,0.3,pcs_only,PCS only,3,15,6.366998109685756,0.0,0.0,19.54611066250895,0.001083942209320252,0.0012265960796206084,1.595529004991576e-06,2.7635373015952266e-06,3.1272368497834894e-06,1.0,0.0,0.0,1.2062870342110001,8.476666512058802e-05,9.592251157432959e-05,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,pcs_only,PCS only,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,19.03951697045007,0.0032957999017361036,0.0037295486825064637,4.920634920634921e-05,2.74928699614108e-06,3.111111111111117e-06,1.0,0.0,0.0,1.1875092502465743,0.00012687750706408238,0.00014357541520081097,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,uniform_baseline,Uniform baseline,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,18.852428533110324,0.003341427316471732,0.0037811809628593464,7.142857142857143e-05,1.2598815766974247e-05,1.4256902162084843e-05,1.0,0.0,0.0,1.1796923794196508,0.00024404210785181649,0.0002761596422572259,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.06,pcs_only,PCS only,3,15,6.398670795073586,0.0,0.0,18.955620289591014,0.003019245453311147,0.003416597863428739,4.921657091080481e-05,2.749858109413886e-06,3.11175738661863e-06,1.0,0.0,0.0,1.184064616024884,0.00011239031539657413,0.0001271816145430973,0.0,0.0,0.0,0.0,0.0,0.0
