seed,spans,launch_power_dbm,pcs_nu,scenario,display_name,total_net_rate_tbps,mean_gsnr_db,mean_ber,mean_ngmi,mean_score,mean_parameter_count,total_train_time_s,mean_inference_time_ms_per_channel,mean_residual_mse_improvement_percent,n_channels
1,6,-2.0,0.0,neural_only,Neural NLI only,6.4,21.677865085900574,1.4285714285714287e-05,1.0,1.2935669843884041,786.0,5.882875799999965,1.184379999782929,33.66390925962184,15
1,6,-2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.4,21.76327406022539,9.523809523809525e-06,1.0,1.297054771932825,786.0,6.683652200003053,1.1595266663789516,33.5220689667572,15
1,6,0.0,0.0,neural_only,Neural NLI only,6.4,20.796767333716726,0.00010476190476190477,1.0,1.2569659314439072,786.0,5.717273699998259,1.250860000072862,36.00743100223706,15
1,6,0.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.4,20.95325867695887,6.19047619047619e-05,1.0,1.2638684423164501,786.0,5.791958200001318,1.1613400000593779,35.556244866953946,15
1,6,2.0,0.0,neural_only,Neural NLI only,6.4,18.214784795974666,0.002280952380952381,1.0,1.1210437727913676,786.0,5.774710299998333,1.1385599998902762,37.94715284257222,15
1,6,2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.4,18.565810242390395,0.0016761904761904763,1.0,1.1441562192194255,786.0,5.937418399997114,1.2258199997935055,37.981089071025515,15
1,8,-2.0,0.0,neural_only,Neural NLI only,6.4,20.411877375769425,0.0001523809523809524,1.0,1.2408560474117294,786.0,9.504837100002987,1.4537666667213975,35.894069863347944,15
1,8,-2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.4,20.51128756755353,0.00014285714285714287,1.0,1.2449753122259508,786.0,12.681857599998693,1.7908133334761562,35.58667794713953,15
1,8,0.0,0.0,neural_only,Neural NLI only,6.4,19.242970220003034,0.0008523809523809523,1.0,1.1835997611810738,786.0,5.801073699998597,1.1288533332844963,37.471423133190505,15
1,8,0.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.4,19.460424348218183,0.0006571428571428572,1.0,1.1952264977382512,786.0,6.02777419999984,1.2301200000365498,37.36272190609141,15
1,8,2.0,0.0,neural_only,Neural NLI only,6.4,15.962117218027036,0.00998095238095238,1.0,0.9154370696734624,786.0,5.818304199996419,1.2627733331707227,34.85032827953751,15
1,8,2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.4,16.39645191721047,0.007871428571428573,1.0,0.9644533147836569,786.0,5.775457800000368,1.1189533330859074,35.57696831916772,15
1,10,-2.0,0.0,neural_only,Neural NLI only,6.4,19.16765145627484,0.0008714285714285714,1.0,1.1803012963462318,786.0,5.81293060000462,1.2084799998168212,37.05605425363178,15
1,10,-2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.4,19.304255811097427,0.0007523809523809524,1.0,1.1875511848248492,786.0,6.096078899998247,1.180499999827589,37.03971004261623,15
1,10,0.0,0.0,neural_only,Neural NLI only,6.4,17.71377855766594,0.0030095238095238096,1.0,1.0900749518304473,786.0,6.225183600001401,1.2137200000627977,36.701448439173824,15
1,10,0.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.4,17.975001265320085,0.0024666666666666665,1.0,1.10866671727947,786.0,6.005187200000364,1.2081066666723927,36.881294358783485,15
1,10,2.0,0.0,neural_only,Neural NLI only,6.4,14.035884791579404,0.023847619047619048,1.0,0.630387772615557,786.0,5.858444699995744,1.2066399999942707,31.4440511778052,15
1,10,2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.4,14.488224141832648,0.01983333333333333,1.0,0.7086956323399726,786.0,5.610572699997647,1.1455733332695672,32.16210168253687,15
1,12,-2.0,0.0,neural_only,Neural NLI only,6.4,17.913755306459606,0.0025095238095238096,1.0,1.1055740217821937,786.0,6.080096400002731,1.4431333330624816,36.351326136161966,15
1,12,-2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.4,18.07251475159733,0.0022523809523809523,1.0,1.1157815424448456,786.0,5.876233299995874,1.207100000222757,36.49191789482041,15
1,12,0.0,0.0,neural_only,Neural NLI only,6.4,16.27840164815434,0.00811904761904762,1.0,0.956017018307126,786.0,6.800324699997873,1.3246600000760131,34.804058793663,15
1,12,0.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.4,16.56917272194373,0.0067761904761904765,1.0,0.9877907184015589,786.0,5.825564099997791,1.19664666672179,35.20268375645824,15
1,12,2.0,0.0,neural_only,Neural NLI only,6.269101302088597,12.444685498550355,0.04077619047619048,0.9795470784513433,0.3040846496050636,786.0,5.763610999998491,1.2113800000709791,29.196080264680727,15
1,12,2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.348401419089075,12.897791593357391,0.0353,0.991937721732668,0.4096384250069007,786.0,5.77054720000524,1.2137800000346033,29.74334457709316,15
2,6,-2.0,0.0,neural_only,Neural NLI only,6.4,21.816062310092935,4.761904761904762e-06,1.0,1.2992377304989555,786.0,5.883268400002635,1.243093333444752,35.80604222776391,15
2,6,-2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.4,21.902011366145096,4.761904761904762e-06,1.0,1.302675692741042,786.0,5.743606299996827,1.1972733334308334,35.68224350130908,15
2,6,0.0,0.0,neural_only,Neural NLI only,6.4,20.952746317684497,6.19047619047619e-05,1.0,1.2638479479454752,786.0,5.579493600002024,1.209506666418747,38.30416415913585,15
2,6,0.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.4,21.10725027843693,5.714285714285714e-05,1.0,1.270099534947001,786.0,5.676808000000165,1.1952333332980438,37.84692403614701,15
2,6,2.0,0.0,neural_only,Neural NLI only,6.4,18.329620177261713,0.0021333333333333334,1.0,1.1278514737571352,786.0,5.640097000003152,1.0646466667822096,39.56260115814673,15
2,6,2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.4,18.704512481287104,0.0016047619047619046,1.0,1.1507757373467222,786.0,5.809922200000074,1.116073333226571,39.92840727360666,15
2,8,-2.0,0.0,neural_only,Neural NLI only,6.4,20.591585486192482,0.0001238095238095238,1.0,1.2484729432572232,786.0,11.95983940000042,1.8853066664936098,38.54551625726631,15
2,8,-2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.4,20.69525759316372,9.047619047619048e-05,1.0,1.2531198275360727,786.0,6.809458400002768,1.427673333697991,38.31518055953347,15
2,8,0.0,0.0,neural_only,Neural NLI only,6.4,19.409881962043666,0.000738095238095238,1.0,1.1919905165769848,786.0,5.73178469999948,1.1616266667260788,39.851654852084266,15
2,8,0.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.4,19.633877520920123,0.0005857142857142857,1.0,1.2032360532177573,786.0,5.780161000002408,1.1873066665430088,39.83886811527353,15
2,8,2.0,0.0,neural_only,Neural NLI only,6.4,16.03611118119662,0.010066666666666666,1.0,0.9171111139145315,786.0,6.311320400000113,1.2765399997685258,35.92979210101376,15
2,8,2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.4,16.466532143442425,0.00788095238095238,1.0,0.967113666690078,786.0,5.896819599998707,1.1667733334130994,36.59305897718388,15
2,10,-2.0,0.0,neural_only,Neural NLI only,6.4,19.328819305680515,0.0007952380952380953,1.0,1.187890867465316,786.0,6.4708450000052835,1.6934533330640988,39.381738112046854,15
2,10,-2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.4,19.463008338666043,0.0006761904761904762,1.0,1.1950441430704513,786.0,5.789695500001471,1.2349666666220096,39.33555755433519,15
2,10,0.0,0.0,neural_only,Neural NLI only,6.4,17.831129605516065,0.002961904761904762,1.0,1.0954832794587377,786.0,5.842912500003877,1.1921666665633288,38.40279122883752,15
2,10,0.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.4,18.10159405157123,0.002442857142857143,1.0,1.1140875715866587,786.0,6.009598600001482,1.22569333325373,38.71301439527486,15
2,10,2.0,0.0,neural_only,Neural NLI only,6.4,14.072455881696385,0.023795238095238095,1.0,0.6326363305059507,786.0,5.871041000005789,1.2623266668621607,32.02176304652837,15
2,10,2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.4,14.539290964890883,0.019971428571428574,1.0,0.7086668766908735,786.0,5.617562799998268,1.133519999590741,32.94762219294469,15
2,12,-2.0,0.0,neural_only,Neural NLI only,6.4,18.068596264708,0.0024,1.0,1.1134105172549869,786.0,7.4628639000020485,1.2936266664231273,38.604975270285756,15
2,12,-2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.4,18.230322907311578,0.002157142857142857,1.0,1.123522440101987,786.0,9.055094399995141,1.5615599998758019,38.78395565412611,15
2,12,0.0,0.0,neural_only,Neural NLI only,6.4,16.346284375773056,0.008133333333333333,1.0,0.9585180416975889,786.0,5.799496400000862,1.235933333130864,35.817558948156076,15
2,12,0.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.4,16.645268960549327,0.0067761904761904765,1.0,0.9908345679457826,786.0,5.777084300001661,1.2371866661851527,36.33582267716202,15
2,12,2.0,0.0,neural_only,Neural NLI only,6.247875317512031,12.42423826335287,0.04145238095238095,0.976230518361255,0.2917088374158692,786.0,5.326236699998844,1.1336533333330103,28.879310434943893,15
2,12,2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,6.3356592769267985,12.891526095097117,0.03599047619047619,0.9899467620198122,0.39818118607519515,786.0,5.425072699999873,1.1709666664197964,29.651531751250687,15
