scenario_group,band,spans,launch_power_dbm,reference_model,reference_source,reference_gsnr_db,freq_min_thz,freq_max_thz,return_code,status,log_path,notes
C,C,10,-2,GNPy,GNPy local Day-12 matched spectrum run,12.2200,190.60199,196.22699,0,ok,E:\VS Code\O+E+S+C+L\results\logs\day12_gnpy\gnpy_day12_C_10sp_-2dBm.log,"Matched 64 Gbaud, 75 GHz spectrum; receiver GSNR(signal bw)"
C,C,10,0,GNPy,GNPy local Day-12 matched spectrum run,14.0300,190.60199,196.22699,0,ok,E:\VS Code\O+E+S+C+L\results\logs\day12_gnpy\gnpy_day12_C_10sp_+0dBm.log,"Matched 64 Gbaud, 75 GHz spectrum; receiver GSNR(signal bw)"
C,C,10,2,GNPy,GNPy local Day-12 matched spectrum run,15.1300,190.60199,196.22699,0,ok,E:\VS Code\O+E+S+C+L\results\logs\day12_gnpy\gnpy_day12_C_10sp_+2dBm.log,"Matched 64 Gbaud, 75 GHz spectrum; receiver GSNR(signal bw)"
C,C,10,4,GNPy,GNPy local Day-12 matched spectrum run,15.1300,190.60199,196.22699,0,ok,E:\VS Code\O+E+S+C+L\results\logs\day12_gnpy\gnpy_day12_C_10sp_+4dBm.log,"Matched 64 Gbaud, 75 GHz spectrum; receiver GSNR(signal bw)"
S,S,12,-2,GNPy,GNPy local Day-12 matched spectrum run,11.8000,198.39049,204.01549,0,ok,E:\VS Code\O+E+S+C+L\results\logs\day12_gnpy\gnpy_day12_S_12sp_-2dBm.log,"Matched 64 Gbaud, 75 GHz spectrum; receiver GSNR(signal bw)"
S,S,12,0,GNPy,GNPy local Day-12 matched spectrum run,13.2400,198.39049,204.01549,0,ok,E:\VS Code\O+E+S+C+L\results\logs\day12_gnpy\gnpy_day12_S_12sp_+0dBm.log,"Matched 64 Gbaud, 75 GHz spectrum; receiver GSNR(signal bw)"
S,S,12,2,GNPy,GNPy local Day-12 matched spectrum run,13.5000,198.39049,204.01549,0,ok,E:\VS Code\O+E+S+C+L\results\logs\day12_gnpy\gnpy_day12_S_12sp_+2dBm.log,"Matched 64 Gbaud, 75 GHz spectrum; receiver GSNR(signal bw)"
S,S,12,4,GNPy,GNPy local Day-12 matched spectrum run,13.5000,198.39049,204.01549,0,ok,E:\VS Code\O+E+S+C+L\results\logs\day12_gnpy\gnpy_day12_S_12sp_+4dBm.log,"Matched 64 Gbaud, 75 GHz spectrum; receiver GSNR(signal bw)"
