scenario_group,spans,launch_power_dbm,pcs_nu,n_pairs,gmi_gain_mean,gmi_gain_ci95,ngmi_gain_mean,ngmi_gain_ci95,ber_delta_mean,ber_delta_ci95,rate_gain_mean,rate_gain_ci95,aggregate_rate_gain_mean,aggregate_rate_gain_ci95,ssfm_steps_per_span,symbols,gmi_gain_mean_reference,gmi_gain_mean_abs_error_vs_reference,ngmi_gain_mean_reference,ngmi_gain_mean_abs_error_vs_reference,passes_convergence_gate
C,10,2.0,0.36,3,0.06492117968017046,0.04463863124404606,0.016230294920042614,0.011159657811011515,-0.0037027994791666665,0.002295226741949055,0.006924925832551536,0.00476145399936496,0.006924925832551536,0.00476145399936496,2,4096,0.06491444537536466,6.734304805799951e-06,0.016228611343841164,1.6835762014499878e-06,True
S,12,-2.0,0.36,3,0.047502621337938145,0.007787569444137888,0.011875655334484536,0.001946892361034472,-0.0035196940104166665,0.0008690838551167521,0.005066946276046739,0.0008306740740413513,0.005066946276046739,0.0008306740740413513,2,4096,0.04750191922715959,7.02110778551257e-07,0.011875479806789898,1.7552769463781426e-07,True
C,10,2.0,0.36,3,0.06491599110778123,0.04466359327905745,0.01622899777694531,0.011165898319764363,-0.0037027994791666665,0.002295226741949055,0.006924372384829976,0.004764116616432763,0.006924372384829976,0.004764116616432763,4,4096,0.06491444537536466,1.5457324165774056e-06,0.016228611343841164,3.864331041443514e-07,True
S,12,-2.0,0.36,3,0.047502079670990995,0.007787562562940634,0.011875519917747749,0.0019468906407351585,-0.0035196940104166665,0.0008690838551167521,0.005066888498239053,0.0008306733400470584,0.005066888498239053,0.0008306733400470584,4,4096,0.04750191922715959,1.6044383140123575e-07,0.011875479806789898,4.011095785030894e-08,True
C,10,2.0,0.36,3,0.06491468714937865,0.044669848104557354,0.016228671787344662,0.011167462026139338,-0.0037027994791666665,0.002295226741949055,0.0069242332959336865,0.004764783797819437,0.0069242332959336865,0.004764783797819437,8,4096,0.06491444537536466,2.417740139898372e-07,0.016228611343841164,6.04435034974593e-08,True
S,12,-2.0,0.36,3,0.04750194429499791,0.007787560978208573,0.011875486073749478,0.0019468902445521432,-0.0035196940104166665,0.0008690838551167521,0.005066874058133108,0.000830673171008904,0.005066874058133108,0.000830673171008904,8,4096,0.04750191922715959,2.5067838319015046e-08,0.011875479806789898,6.266959579753761e-09,True
C,10,2.0,0.36,3,0.06491444537536466,0.044671007034689195,0.016228611343841164,0.011167751758672299,-0.0037027994791666665,0.002295226741949055,0.006924207506705545,0.004764907417033526,0.006924207506705545,0.004764907417033526,12,4096,0.06491444537536466,0.0,0.016228611343841164,0.0,True
S,12,-2.0,0.36,3,0.04750191922715959,0.0077875606906957,0.011875479806789898,0.001946890172673925,-0.0035196940104166665,0.0008690838551167521,0.00506687138423038,0.000830673140340905,0.00506687138423038,0.000830673140340905,12,4096,0.04750191922715959,0.0,0.011875479806789898,0.0,True
