seed,spans,launch_power_dbm,band,pcs_nu,scenario,display_name,method,shaped,gmi,ngmi,ber,gsnr_db,rate_tbps,entropy_bits_per_symbol,score,ssfm_noise_var,ssfm_signal_power,ssfm_gsnr_db,ssfm_steps_total,parameter_count,train_time_s,inference_time_s,residual_mse_improvement_percent
1,6,-2.0,C,0.0,uniform_raw,Uniform raw,raw,False,0.0,0.0,0.47906494140625,-3.0572523743829194,0.0,4.0,-9.734161446844146,2.025688402031908,1.001953125,-3.0572523743829194,24,0,0.0,0.0,
1,6,-2.0,C,0.0,linear_eq,Linear EQ,linear,False,0.00017032362191549133,4.258090547887283e-05,0.49737548828125,0.0009584289757951876,1.8167853004319076e-05,4.0,-9.947443676323205,2.025688402031908,1.001953125,-3.0572523743829194,24,2,0.0,0.0,
1,6,-2.0,C,0.0,poly_nlc,Polynomial NLC,poly,False,0.004664998169454426,0.0011662495423636066,0.48895263671875,0.009094532813235082,0.0004975998047418055,4.0,-9.778100407929596,2.025688402031908,1.001953125,-3.0572523743829194,24,60,0.02133989999856567,0.0,
1,6,-2.0,C,0.0,dbp_like,DBP-like,dbp,False,0.0,0.0,0.4781494140625,-3.057643233362823,0.0,4.0,-9.715870442918142,2.025688402031908,1.001953125,-3.0572523743829194,24,1,0.0,0.0,
1,6,-2.0,C,0.0,neural_residual,Neural residual,neural,False,0.005677087248637136,0.001419271812159284,0.49371337890625,0.005927033648182074,0.0006055559731879612,4.0,-9.873365670469402,2.025688402031908,1.001953125,-3.0572523743829194,24,786,0.5010395999997854,0.0019451000007393304,50.60510583945308
1,6,-2.0,C,0.0,pcs_raw,PCS raw,raw,True,0.0,0.0,0.47906494140625,-3.0572523743829194,0.0,4.0,-9.734161446844146,2.025688402031908,1.001953125,-3.0572523743829194,24,0,0.0,0.0,
1,6,-2.0,C,0.08,pcs_raw,PCS raw,raw,True,0.0032340698584445438,0.0008085174646111359,0.4766845703125,-3.0713622006827452,0.00034496745156741796,3.9985234363217366,-9.68691454883257,1.9787993163750421,0.9755859375,-3.0713622006827452,24,0,0.0,0.0,
1,6,-2.0,C,0.16,pcs_raw,PCS raw,raw,True,0.005355629779085214,0.0013389074447713034,0.47412109375,-3.1105177776716997,0.0005712671764357561,3.9941028013225788,-9.63737649670715,1.944354202257002,0.95,-3.1105177776716997,24,0,0.0,0.0,
1,6,-2.0,C,0.24,pcs_raw,PCS raw,raw,True,0.012642337893878475,0.0031605844734696187,0.467041015625,-3.176102432965688,0.001348516042013704,3.9867651399345525,-9.49827691810627,1.9284869941235159,0.9281249999999999,-3.176102432965688,24,0,0.0,0.0,
1,6,-2.0,C,0.0,pcs_neural,PCS + Neural,neural,True,0.005677087248637136,0.001419271812159284,0.49371337890625,0.005927033648182074,0.0006055559731879612,4.0,-9.873365670469402,2.025688402031908,1.001953125,-3.0572523743829194,24,786,0.3606954999995651,0.002167100003134692,50.60510583945308
1,6,-2.0,C,0.08,pcs_neural,PCS + Neural,neural,True,0.0017681299432698028,0.0004420324858174507,0.4864501953125,-0.007646895184461074,0.0001886005272821123,3.9985234363217366,-9.729197650481941,1.9787993163750421,0.9755859375,-3.0713622006827452,24,786,0.2775099999998929,0.0015200999987428077,50.61120054400803
1,6,-2.0,C,0.16,pcs_neural,PCS + Neural,neural,True,0.003962924608090446,0.0009907311520226114,0.4720458984375,0.002159621164784401,0.0004227119581963142,3.9941028013225788,-9.440387275733565,1.944354202257002,0.95,-3.1105177776716997,24,786,0.37028120000104536,0.001371300000755582,51.16487989980916
1,6,-2.0,C,0.24,pcs_neural,PCS + Neural,neural,True,0.0033418900724004885,0.0008354725181001221,0.4683837890625,0.0003686208124672886,0.0003564682743893855,3.9867651399345525,-9.367300881934987,1.9284869941235159,0.9281249999999999,-3.176102432965688,24,786,0.21310639999865089,0.001652500002819579,51.87697771858335
1,6,-2.0,L,0.0,uniform_raw,Uniform raw,raw,False,0.0,0.0,0.477294921875,-2.992751367808788,0.0,4.0,-9.695536005890439,1.9958253793900123,1.001953125,-2.992751367808788,24,0,0.0,0.0,
1,6,-2.0,L,0.0,linear_eq,Linear EQ,linear,False,0.0,0.0,0.50494384765625,-0.00019884750615168848,0.0,4.0,-10.098886895500307,1.9958253793900123,1.001953125,-2.992751367808788,24,2,0.0,0.0,
1,6,-2.0,L,0.0,poly_nlc,Polynomial NLC,poly,False,0.003146277651874141,0.0007865694129685352,0.48876953125,-0.01654943135440927,0.0003356029495332417,4.0,-9.775882493618187,1.9958253793900123,1.001953125,-2.992751367808788,24,60,0.006559999997989507,0.0,
1,6,-2.0,L,0.0,dbp_like,DBP-like,dbp,False,0.0,0.0,0.47686767578125,-2.990146386442652,0.0,4.0,-9.686860834947133,1.9958253793900123,1.001953125,-2.992751367808788,24,1,0.0,0.0,
1,6,-2.0,L,0.0,neural_residual,Neural residual,neural,False,0.002003293058172151,0.0005008232645430377,0.4925537109375,-0.004313219245434012,0.0002136845928716961,4.0,-9.8510761951194,1.9958253793900123,1.001953125,-2.992751367808788,24,786,0.26733640000020387,0.001719500000035623,49.747672073260254
1,6,-2.0,L,0.0,pcs_raw,PCS raw,raw,True,0.0,0.0,0.477294921875,-2.992751367808788,0.0,4.0,-9.695536005890439,1.9958253793900123,1.001953125,-2.992751367808788,24,0,0.0,0.0,
1,6,-2.0,L,0.08,pcs_raw,PCS raw,raw,True,0.0004964445720531119,0.00012411114301327797,0.47528076171875,-3.033981931363984,5.295408768566526e-05,3.9985234363217366,-9.657261376855514,1.9618406305900407,0.9755859375,-3.033981931363984,24,0,0.0,0.0,
1,6,-2.0,L,0.16,pcs_raw,PCS raw,raw,True,0.005839101731574203,0.0014597754328935508,0.48175048828125,-3.2209596402212033,0.0006228375180345817,3.9941028013225788,-9.795434910118026,1.9944335414154069,0.95,-3.2209596402212033,24,0,0.0,0.0,
1,6,-2.0,L,0.24,pcs_raw,PCS raw,raw,True,0.015991440133108603,0.003997860033277151,0.47442626953125,-3.2268519579464257,0.001705753614198251,3.9867651399345525,-9.648162234908122,1.9511545310449057,0.9281249999999999,-3.2268519579464257,24,0,0.0,0.0,
1,6,-2.0,L,0.0,pcs_neural,PCS + Neural,neural,True,0.002003293058172151,0.0005008232645430377,0.4925537109375,-0.004313219245434012,0.0002136845928716961,4.0,-9.8510761951194,1.9958253793900123,1.001953125,-2.992751367808788,24,786,0.2457341000008455,0.0015127999977266882,49.747672073260254
1,6,-2.0,L,0.08,pcs_neural,PCS + Neural,neural,True,0.0015509130074253807,0.0003877282518563452,0.48358154296875,-0.015821804927617422,0.0001654307207920406,3.9985234363217366,-9.67225651890059,1.9618406305900407,0.9755859375,-3.033981931363984,24,786,0.23008009999830392,0.0014148000009299722,50.09041170756722
1,6,-2.0,L,0.16,pcs_neural,PCS + Neural,neural,True,0.008636089884659692,0.002159022471164923,0.47265625,0.030196894773635536,0.0009211829210303673,3.9941028013225788,-9.450693972340288,1.9944335414154069,0.95,-3.2209596402212033,24,786,0.3701531000006071,0.001466899997467408,52.69747254006849
1,6,-2.0,L,0.24,pcs_neural,PCS + Neural,neural,True,0.00286923905405545,0.0007173097635138626,0.46612548828125,-0.0064793762851650385,0.0003060521657659147,3.9867651399345525,-9.322527682273492,1.9511545310449057,0.9281249999999999,-3.2268519579464257,24,786,0.3759695000007923,0.001466699999582488,52.360988450238985
1,6,-2.0,S,0.0,uniform_raw,Uniform raw,raw,False,0.001156178217187609,0.00028904455429690223,0.47344970703125,-3.0750670221365484,0.0001233256765000116,4.0,-9.622624166055328,2.034014789304001,1.001953125,-3.0750670221365484,24,0,0.0,0.0,
1,6,-2.0,S,0.0,linear_eq,Linear EQ,linear,False,0.0,0.0,0.49896240234375,-0.002765498585496049,0.0,4.0,-9.979386321804276,2.034014789304001,1.001953125,-3.0750670221365484,24,2,0.0,0.0,
1,6,-2.0,S,0.0,poly_nlc,Polynomial NLC,poly,False,0.0012483667551043132,0.0003120916887760783,0.49090576171875,-0.025351884755460338,0.00013315912054446006,4.0,-9.819249669492228,2.034014789304001,1.001953125,-3.0750670221365484,24,60,0.007791700001689605,0.0,
1,6,-2.0,S,0.0,dbp_like,DBP-like,dbp,False,0.0011706298361802148,0.0002926574590450537,0.47418212890625,-3.0779495713085647,0.00012486718252588958,4.0,-9.637415189507902,2.034014789304001,1.001953125,-3.0750670221365484,24,1,0.0,0.0,
1,6,-2.0,S,0.0,neural_residual,Neural residual,neural,False,0.0017568827620926264,0.0004392206905231566,0.491455078125,-0.012031627437539907,0.0001874008279565468,4.0,-9.82951574304392,2.034014789304001,1.001953125,-3.0750670221365484,24,786,0.3123082999991311,0.0014991999996709637,50.60346786302523
1,6,-2.0,S,0.0,pcs_raw,PCS raw,raw,True,0.001156178217187609,0.00028904455429690223,0.47344970703125,-3.0750670221365484,0.0001233256765000116,4.0,-9.622624166055328,2.034014789304001,1.001953125,-3.0750670221365484,24,0,0.0,0.0,
1,6,-2.0,S,0.08,pcs_raw,PCS raw,raw,True,0.004669545118609286,0.0011673862796523216,0.47052001953125,-3.1015531526658897,0.0004980848126516572,3.9985234363217366,-9.564979963445642,1.992603307452131,0.9755859375,-3.1015531526658897,24,0,0.0,0.0,
1,6,-2.0,S,0.16,pcs_raw,PCS raw,raw,True,0.007598228610150248,0.001899557152537562,0.47625732421875,-3.166581832424462,0.0008104777184160266,3.9941028013225788,-9.682665098277807,1.969617020318822,0.95,-3.166581832424462,24,0,0.0,0.0,
1,6,-2.0,S,0.24,pcs_raw,PCS raw,raw,True,0.014186555353045471,0.003546638838261368,0.47265625,-3.202155023797081,0.001513232570991517,3.9867651399345525,-9.611719518618862,1.9400904298896373,0.9281249999999999,-3.202155023797081,24,0,0.0,0.0,
1,6,-2.0,S,0.0,pcs_neural,PCS + Neural,neural,True,0.0017568827620926264,0.0004392206905231566,0.491455078125,-0.012031627437539907,0.0001874008279565468,4.0,-9.82951574304392,2.034014789304001,1.001953125,-3.0750670221365484,24,786,0.28418629999941913,0.0015683000019635074,50.60346786302523
1,6,-2.0,S,0.08,pcs_neural,PCS + Neural,neural,True,0.007376356740090073,0.0018440891850225183,0.47821044921875,0.013843707678590502,0.0007868113856096078,3.9985234363217366,-9.562729987605461,1.992603307452131,0.9755859375,-3.1015531526658897,24,786,0.45536580000043614,0.0014007999998284504,51.195449861811326
1,6,-2.0,S,0.16,pcs_neural,PCS + Neural,neural,True,0.006603861752196405,0.0016509654380491012,0.47100830078125,0.010822881229800246,0.0007044119202342833,3.9941028013225788,-9.418920459643276,1.969617020318822,0.95,-3.166581832424462,24,786,0.45705240000097547,0.0013431000006676186,51.88732224461021
1,6,-2.0,S,0.24,pcs_neural,PCS + Neural,neural,True,0.0010176223097679848,0.0002544055774419962,0.46929931640625,-0.014298520720161086,0.00010854637970858505,3.9867651399345525,-9.386592707781299,1.9400904298896373,0.9281249999999999,-3.202155023797081,24,786,0.2020083000024897,0.001486600001953775,52.002971644587824
1,6,0.0,C,0.0,uniform_raw,Uniform raw,raw,False,0.005709656626856741,0.0014274141567141851,0.47235107421875,-2.987544988755826,0.0006090300401980524,4.0,-9.595789703772594,1.99343419140073,1.001953125,-2.987544988755826,24,0,0.0,0.0,
1,6,0.0,C,0.0,linear_eq,Linear EQ,linear,False,2.5207179534358914e-05,6.301794883589729e-06,0.49957275390625,-0.0004476170228800432,2.6887658169982843e-06,4.0,-9.991474770210328,1.99343419140073,1.001953125,-2.987544988755826,24,2,0.0,0.0,
1,6,0.0,C,0.0,poly_nlc,Polynomial NLC,poly,False,0.0045215404301832685,0.0011303851075458171,0.48687744140625,0.010504847749342783,0.00048229764588621525,4.0,-9.736541288091647,1.99343419140073,1.001953125,-2.987544988755826,24,60,0.00697779999973136,0.0,
1,6,0.0,C,0.0,dbp_like,DBP-like,dbp,False,0.005733888684310795,0.0014334721710776988,0.471923828125,-2.9871736080766906,0.0006116147929931514,4.0,-9.587223628110841,1.99343419140073,1.001953125,-2.987544988755826,24,1,0.0,0.0,
1,6,0.0,C,0.0,neural_residual,Neural residual,neural,False,0.009997494329900825,0.002499373582475206,0.48638916015625,0.03276895243793484,0.0010663993951894213,4.0,-9.725078356107915,1.99343419140073,1.001953125,-2.987544988755826,24,786,0.5334622000009404,0.0015184000003500842,50.115157441444055
