spans,launch_power_dbm,pcs_nu,scenario,display_name,n_seeds,n_channels_per_seed,total_net_rate_tbps_mean,total_net_rate_tbps_std,total_net_rate_tbps_ci95,mean_gsnr_db_mean,mean_gsnr_db_std,mean_gsnr_db_ci95,mean_ber_mean,mean_ber_std,mean_ber_ci95,mean_ngmi_mean,mean_ngmi_std,mean_ngmi_ci95,mean_score_mean,mean_score_std,mean_score_ci95,mean_inference_time_ms_per_channel_mean,mean_inference_time_ms_per_channel_std,mean_inference_time_ms_per_channel_ci95,mean_residual_mse_improvement_percent_mean,mean_residual_mse_improvement_percent_std,mean_residual_mse_improvement_percent_ci95
6,-2.0,0.0,neural_only,Neural NLI only,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,21.742407696224944,0.06954775086264596,0.07870068885688009,9.523809523809525e-06,4.761904761904762e-06,5.3886025124365084e-06,1.0,0.0,0.0,1.2962201173728072,0.002852888832898764,0.00322834762585867,1.2029822221342732,0.034767630284697634,0.039343277379752906,34.69421724364124,1.0733905064232991,1.2146557037449979
6,-2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,21.82349099821566,0.07115666992010038,0.0805213521646943,7.936507936507938e-06,2.749286996141075e-06,3.111111111111111e-06,1.0,0.0,0.0,1.2994872589762452,0.002885702560422849,0.0032654798541201955,1.1933533332921795,0.03204698513987663,0.03626457757455847,34.492341944748425,1.0967069067553699,1.2410406945611758
6,0.0,0.0,neural_only,Neural NLI only,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,20.84555983964727,0.09295027081026595,0.10518313319216911,8.412698412698413e-05,2.147261787058521e-05,2.429855454726515e-05,1.0,0.0,0.0,1.2592271554906527,0.0040020257478256965,0.0045287184599095195,1.2438911110317956,0.03148386994267803,0.035627352741611204,36.76401579493356,1.3338758193485372,1.5094225841981648
6,0.0,0.0,proposed_pcs_neural,PCS + Neural NLI,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,21.013685959856385,0.08216994999291513,0.09298405178550698,6.349206349206349e-05,7.2739296745330825e-06,8.231226301089841e-06,1.0,0.0,0.0,1.266261724108541,0.0033573243761929232,0.0037991701794096782,1.1789266666811373,0.016982882838791884,0.019217941078041045,36.48969503808388,1.2027028455364208,1.3609863907861397
6,2.0,0.0,neural_only,Neural NLI only,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,18.251888295916903,0.06734085112604692,0.07620334670916012,0.002266666666666667,0.0001267954948161366,0.0001434826096056914,1.0,0.0,0.0,1.1227421985033426,0.004506841361476427,0.005099971103556975,1.1438844444556808,0.08202970361563416,0.09282534806950195,38.49959850547727,0.9208255236042777,1.0420121733020313
6,2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,18.61125165857295,0.08077499303321099,0.09140550938416844,0.001680952380952381,7.867957924694445e-05,8.903432546558175e-05,1.0,0.0,0.0,1.145902447295299,0.004276493015146695,0.004839307411225698,1.1617555553837315,0.05713591057160832,0.06465536936386841,38.65256438897449,1.1054217124110979,1.2509024255280647
8,-2.0,0.0,neural_only,Neural NLI only,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,20.484647989932537,0.09460065069607411,0.1070507138439886,0.00014444444444444444,1.802828046285801e-05,2.0400919853384002e-05,1.0,0.0,0.0,1.2438859195973015,0.004040150506581047,0.004571860685780694,1.5195733332802774,0.33767395054799315,0.38211404664452814,37.001626839235875,1.3785251158412741,1.5599480195626145
8,-2.0,0.0,proposed_pcs_neural,PCS + Neural NLI,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,20.585718273264867,0.09687984141904649,0.10962986094377611,0.00012222222222222221,2.7902215605153886e-05,3.1574329313620243e-05,1.0,0.0,0.0,1.248262064263928,0.004293522986151636,0.004858578637579926,1.4668822223433784,0.30621515776221914,0.3465150713773635,36.72608809248055,1.4187467248615182,1.6054630548809672
8,0.0,0.0,neural_only,Neural NLI only,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,19.30082190331741,0.09450717270135016,0.10694493353497093,0.000792063492063492,5.7406797841349626e-05,6.496190716655457e-05,1.0,0.0,0.0,1.1868185904184108,0.004523509115312147,0.005118832442598101,1.242219999969368,0.1687716920141446,0.19098314835927183,38.330789538589904,1.3208184443613373,1.4946467734291762
8,0.0,0.0,proposed_pcs_neural,PCS + Neural NLI,3,15,6.400000000000001,1.0877919644084146e-15,1.2309524876080796e-15,19.51391991680932,0.10408843549672078,0.11778715305697514,0.0006158730158730159,3.6987873643590695e-05,4.185571925756275e-05,1.0,0.0,0.0,1.1979853681009442,0.004549186775837906,0.005147889450862846,1.2156444445281522,0.02454315159476041,0.027773190552793564,38.15893400117694,1.4555234341897316,1.6470798192208502
