seed,scenario_group,spans,launch_power_dbm,pcs_nu,shaped,stress_name,display_name,scenario,n_bands,bands,gmi,ngmi,ber,gsnr_db,rate_tbps,rate_tbps_per_channel
1,C,10,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,1,C,3.6442236425468733,0.9110559106367183,0.020965576171875,12.928788126785673,0.38871718853833315,0.38871718853833315
1,C,10,2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,1,C,3.688797002718532,0.922199250679633,0.01800537109375,12.618553914184876,0.39347168028997676,0.39347168028997676
1,C+S,12,0.0,0.0,False,q3_evidence_cs_penalty,Uniform raw,uniform_raw,2,C+S,3.59296017141725,0.8982400428543125,0.0260467529296875,12.33791878059275,0.7664981699023466,0.3832490849511733
1,C+S,12,0.0,0.36,True,q3_evidence_cs_penalty,PCS raw,pcs_raw,2,C+S,3.6538309028493545,0.9134577257123386,0.021270751953125,12.159689802757677,0.7794839259411956,0.3897419629705978
1,S,12,-2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,1,S,3.7561502275496004,0.9390375568874001,0.0155029296875,13.432012945519636,0.4006560242719574,0.4006560242719574
1,S,12,-2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,1,S,3.8339811862548325,0.9584952965637081,0.01104736328125,13.415598760297872,0.4089579932005155,0.4089579932005155
2,C,10,2.0,0.0,False,q3_evidence,Uniform raw,uniform_raw,1,C,3.642037133552812,0.910509283388203,0.02191162109375,12.866957440028203,0.3884839609123,0.3884839609123
2,C,10,2.0,0.36,True,q3_evidence,PCS raw,pcs_raw,1,C,3.6738541472168147,0.9184635368042037,0.01873779296875,12.550378328816315,0.3918777757031269,0.3918777757031269
2,C+S,12,0.0,0.0,False,q3_evidence_cs_penalty,Uniform raw,uniform_raw,2,C+S,3.5982303999710146,0.8995575999927536,0.0258331298828125,12.339889780179721,0.7676224853271498,0.3838112426635749
2,C+S,12,0.0,0.36,True,q3_evidence_cs_penalty,PCS raw,pcs_raw,2,C+S,3.655877443298098,0.9139693608245245,0.021636962890625,12.120065350391851,0.7799205212369276,0.3899602606184638
