seed,launch_power_dbm,scenario,display_name,total_net_rate_tbps,mean_gsnr_db,mean_ber,mean_ngmi,mean_parameter_count,total_train_time_s,mean_inference_time_ms_per_channel,mean_residual_mse_improvement_percent,n_channels
1,-6.0,neural_only,Neural NLI only,2.1333333333333333,23.28441187841542,0.0,1.0,786.0,0.7031179000005068,1.1758000004192581,5.79596066699178,5
1,-6.0,pcs_only,PCS only,2.129354885190228,22.720231035542472,0.0,1.0,0.0,0.0,0.0,0.0,5
1,-6.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,22.975102393383924,0.0,1.0,786.0,0.9527545000019018,1.6182400002435315,5.0932375508261,5
1,-6.0,uniform_baseline,Uniform baseline,2.1333333333333333,23.123491772771807,0.0,1.0,0.0,0.0,0.0,0.0,5
1,-4.0,neural_only,Neural NLI only,2.1333333333333333,23.161205399462865,0.0,1.0,786.0,1.5618632000005164,1.0649400006514043,6.132410915068505,5
1,-4.0,pcs_only,PCS only,2.129354885190228,22.597864801618165,0.0,1.0,0.0,0.0,0.0,0.0,5
1,-4.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,22.868954922713367,0.0,1.0,786.0,1.623629499999879,1.6433799995866138,5.457806106653565,5
1,-4.0,uniform_baseline,Uniform baseline,2.1333333333333333,22.984463118307126,0.0,1.0,0.0,0.0,0.0,0.0,5
1,-2.0,neural_only,Neural NLI only,2.1333333333333333,22.883794578022417,0.0,1.0,786.0,1.3828664000029676,1.2578599995322293,7.372708432858912,5
1,-2.0,pcs_only,PCS only,2.129354885190228,22.300746083247894,0.0,1.0,0.0,0.0,0.0,0.0,5
1,-2.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,22.620097377879965,0.0,1.0,786.0,1.2281851999996434,1.0809599996719044,6.52454911344918,5
1,-2.0,uniform_baseline,Uniform baseline,2.1333333333333333,22.648676640775072,0.0,1.0,0.0,0.0,0.0,0.0,5
1,0.0,neural_only,Neural NLI only,2.1333333333333333,22.23839549100699,0.0,1.0,786.0,1.3317617000011523,1.2256999994860962,9.585254861430208,5
1,0.0,pcs_only,PCS only,2.129354885190228,21.62590018344556,0.0,1.0,0.0,0.0,0.0,0.0,5
1,0.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,22.040187119662182,0.0,1.0,786.0,1.3672628000022087,1.5948000000207685,8.582236322034921,5
1,0.0,uniform_baseline,Uniform baseline,2.1333333333333333,21.89719619786403,0.0,1.0,0.0,0.0,0.0,0.0,5
1,2.0,neural_only,Neural NLI only,2.1333333333333333,20.951286700895515,0.0,1.0,786.0,1.1944777999997314,1.2897399999928894,12.76135215473822,5
1,2.0,pcs_only,PCS only,2.129354885190228,20.29580796020169,0.0,1.0,0.0,0.0,0.0,0.0,5
1,2.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,20.86771526365002,0.0,1.0,786.0,1.1503134000013233,1.1694399996486027,11.880720286378928,5
1,2.0,uniform_baseline,Uniform baseline,2.1333333333333333,20.454489310426986,0.0,1.0,0.0,0.0,0.0,0.0,5
1,4.0,neural_only,Neural NLI only,2.1333333333333333,18.827833375130563,0.00025,1.0,786.0,1.3252363999981753,1.282579999679001,15.763598570046767,5
1,4.0,pcs_only,PCS only,2.129354885190228,18.137585297310956,0.0002504670954769889,1.0,0.0,0.0,0.0,0.0,5
1,4.0,proposed_pcs_neural,PCS + Neural NLI,2.129354885190228,18.86627508463588,0.00015028025728619333,1.0,786.0,1.2091670999998314,1.7363999999361113,15.027445116905241,5
1,4.0,uniform_baseline,Uniform baseline,2.1333333333333333,18.180056961874765,0.00034999999999999994,1.0,0.0,0.0,0.0,0.0,5
2,-6.0,neural_only,Neural NLI only,2.1333333333333333,23.235498102547517,0.0,1.0,786.0,1.2022302000004856,1.371599999765749,5.721978407885,5
