scenario_group,band,spans,span_length_km,total_length_km,launch_power_dbm,gnpy_reference_gsnr_db,oescl_uniform_gsnr_mean_db,oescl_uniform_gsnr_std_db,oescl_n_seeds,gsnr_error_db,abs_gsnr_error_db,gnpy_stdout,constant_offset_db,oescl_offset_calibrated_gsnr_db,calibrated_error_db,abs_calibrated_error_db
C,C,6,80.0,480.0,2.0,20.92,14.28683149196488,0.0249524786524578,5,-6.633168508035123,6.633168508035123,validation_data\day12_gnpy_c_6span_stdout.txt,6.152843145229901,20.43967463719478,-0.4803253628052211,0.4803253628052211
C,C,8,80.0,640.0,2.0,19.72,13.638557687939308,0.0455102119404022,5,-6.081442312060691,6.081442312060691,validation_data\day12_gnpy_c_8span_stdout.txt,6.152843145229901,19.79140083316921,0.07140083316921064,0.07140083316921064
C,C,10,80.0,800.0,2.0,18.78,12.877686977277335,0.0192125008195924,5,-5.902313022722666,5.902313022722666,validation_data\day12_gnpy_c_10span_stdout.txt,6.152843145229901,19.030530122507237,0.25053012250723583,0.25053012250723583
C,C,12,80.0,960.0,2.0,18.0,12.005551261898876,0.0313895247420485,5,-5.994448738101124,5.994448738101124,validation_data\day12_gnpy_c_12span_stdout.txt,6.152843145229901,18.158394407128778,0.15839440712877817,0.15839440712877817
